gene_id	SRR384980	SRR384978	SRR384982	SRR384979	SRR384981	SRR384977
ENSMUSG00000006200	0	0	0	0	0	0
ENSMUSG00000006204	0	0	0	0	0	0
ENSMUSG00000006216	0	0	0	0	0	0
ENSMUSG00000006269	0	0	0	0	1	0
ENSMUSG00000006310	1	31	3	9	8	33
ENSMUSG00000006311	1	0	0	0	0	0
ENSMUSG00000006457	0	4	3	22	11	7
ENSMUSG00000006462	0	0	0	0	0	0
ENSMUSG00000006469	0	0	0	0	1	0
ENSMUSG00000006488	0	0	0	0	0	0
ENSMUSG00000006490	0	0	0	0	0	0
ENSMUSG00000006517	380	262	615	744	600	216
ENSMUSG00000006546	0	0	0	0	0	0
ENSMUSG00000006570	0	0	0	0	0	0
ENSMUSG00000006576	57	11	22	87	58	4
ENSMUSG00000006638	6	2	3	40	7	1
ENSMUSG00000006642	0	0	0	1	0	0
ENSMUSG00000006800	14	5	19	41	71	3
ENSMUSG00000006948	0	0	0	0	0	0
ENSMUSG00000006958	15	2	4	29	19	1
ENSMUSG00000007107	0	0	1	0	0	0
ENSMUSG00000007209	0	0	0	0	0	0
ENSMUSG00000007440	0	0	0	0	0	0
ENSMUSG00000007457	0	0	0	0	0	0
ENSMUSG00000007655	56	24	202	55	87	9
ENSMUSG00000007777	107	97	156	223	160	122
ENSMUSG00000007907	0	0	0	0	0	0
ENSMUSG00000008129	17	7	19	7	16	0
ENSMUSG00000008461	0	0	0	0	0	0
ENSMUSG00000008730	4121	1729	3336	8345	6762	2548
ENSMUSG00000008789	0	0	0	0	0	0
ENSMUSG00000008813	0	0	0	0	0	0
ENSMUSG00000008874	0	0	0	0	0	0
ENSMUSG00000009047	0	0	0	0	0	0
ENSMUSG00000009070	0	0	1	0	0	0
ENSMUSG00000009093	0	0	0	0	0	1
ENSMUSG00000009185	0	0	0	0	0	0
ENSMUSG00000009216	0	0	0	0	0	1
ENSMUSG00000009471	0	0	0	0	14	0
ENSMUSG00000009487	0	0	0	0	0	0
ENSMUSG00000009580	0	0	0	0	0	0
ENSMUSG00000009588	0	0	0	0	0	0
ENSMUSG00000009670	3	6	0	55	2	12
ENSMUSG00000009687	230	152	294	372	219	88
ENSMUSG00000009734	0	0	0	0	0	0
ENSMUSG00000010136	0	0	0	0	0	0
ENSMUSG00000010205	0	0	0	0	0	0
ENSMUSG00000010435	0	0	0	0	0	0
ENSMUSG00000010505	0	0	1	0	0	0
ENSMUSG00000010592	0	0	0	1	0	0
ENSMUSG00000010841	0	0	0	0	0	0
ENSMUSG00000011118	0	0	0	0	0	0
ENSMUSG00000011349	0	0	0	0	0	0
ENSMUSG00000011486	0	0	0	0	0	1
ENSMUSG00000011632	0	0	1	0	0	0
ENSMUSG00000012017	83	28	66	217	126	9
ENSMUSG00000012042	1	0	0	0	0	0
ENSMUSG00000012187	1	0	0	0	0	0
ENSMUSG00000012211	0	0	0	0	0	0
ENSMUSG00000012777	0	0	0	0	0	0
ENSMUSG00000013083	1	2	3	4	3	0
ENSMUSG00000013158	0	0	1	0	0	0
ENSMUSG00000013353	1	0	0	0	0	0
ENSMUSG00000013539	1859	682	1717	2056	2803	780
ENSMUSG00000013643	0	0	0	0	1	0
ENSMUSG00000013653	0	0	0	0	0	0
ENSMUSG00000013668	0	0	0	0	0	0
ENSMUSG00000014039	182	82	196	328	297	85
ENSMUSG00000014074	479	312	470	1505	769	418
ENSMUSG00000014104	0	0	0	0	0	0
ENSMUSG00000014444	879	154	750	6403	3263	752
ENSMUSG00000014498	523	95	480	2484	1347	262
ENSMUSG00000014504	972	955	1212	1963	1515	905
ENSMUSG00000014686	0	0	0	0	0	0
ENSMUSG00000014725	0	0	0	0	0	0
ENSMUSG00000014771	0	0	0	0	0	0
ENSMUSG00000014852	32	36	59	401	105	3
ENSMUSG00000015001	0	0	0	0	0	0
ENSMUSG00000015085	3	1	1	2	3	1
ENSMUSG00000015127	47	11	50	217	151	40
ENSMUSG00000015224	0	1	0	4	3	0
ENSMUSG00000015242	0	0	0	0	0	0
ENSMUSG00000015365	0	0	0	0	0	0
ENSMUSG00000015401	6	1	3	8	3	1
ENSMUSG00000015405	0	0	0	0	0	0
ENSMUSG00000015441	0	0	0	0	0	0
ENSMUSG00000015443	0	0	0	0	0	0
ENSMUSG00000015519	0	0	0	0	0	0
ENSMUSG00000015579	0	0	0	0	0	0
ENSMUSG00000015627	10	7	5	22	15	0
ENSMUSG00000015647	173	22	139	238	277	9
ENSMUSG00000015665	0	0	0	0	0	0
ENSMUSG00000015714	1247	637	1104	3848	2012	857
ENSMUSG00000015787	0	0	0	0	0	0
ENSMUSG00000015961	456	335	574	1951	749	457
ENSMUSG00000015962	0	0	0	0	1	0
ENSMUSG00000016087	262	118	461	266	240	77
ENSMUSG00000016150	0	0	0	0	0	0
ENSMUSG00000016239	2	2	8	16	14	0
ENSMUSG00000016283	0	0	0	0	0	0
ENSMUSG00000016327	0	0	0	0	1	0
ENSMUSG00000016346	0	1	0	31	0	4
ENSMUSG00000016356	41	6	31	47	65	5
ENSMUSG00000016458	26	11	22	36	29	1
ENSMUSG00000016524	0	0	0	0	1	0
ENSMUSG00000016529	0	1	0	0	0	0
ENSMUSG00000016626	0	0	0	0	0	0
ENSMUSG00000016982	0	0	0	0	0	0
ENSMUSG00000016995	3	0	5	4	12	0
ENSMUSG00000016998	0	0	0	0	0	0
ENSMUSG00000017000	0	0	0	0	0	0
ENSMUSG00000017003	0	0	0	0	0	0
ENSMUSG00000017004	0	0	0	0	0	0
ENSMUSG00000017049	0	0	0	0	0	0
ENSMUSG00000017064	0	0	0	0	0	0
ENSMUSG00000017165	0	0	0	0	1	0
ENSMUSG00000017167	17	2	23	23	22	2
ENSMUSG00000017204	6	0	1	1	17	0
ENSMUSG00000017211	0	0	0	0	0	0
ENSMUSG00000017300	0	0	0	1	0	0
ENSMUSG00000017307	286	152	223	491	440	197
ENSMUSG00000017310	0	0	0	0	0	0
ENSMUSG00000017311	0	0	0	0	0	0
ENSMUSG00000017316	0	0	0	0	0	0
ENSMUSG00000017491	2	0	7	23	5	0
ENSMUSG00000017588	0	0	0	0	0	0
ENSMUSG00000017667	59	38	106	117	92	20
ENSMUSG00000017692	5	0	6	2	1	0
ENSMUSG00000017697	63	67	71	252	102	54
ENSMUSG00000017724	23	3	17	25	14	0
ENSMUSG00000017733	0	0	0	0	0	0
ENSMUSG00000017767	0	0	2	0	0	0
ENSMUSG00000017922	0	0	0	0	0	0
ENSMUSG00000018211	0	0	0	0	0	0
ENSMUSG00000018259	0	0	0	0	0	0
ENSMUSG00000018398	721	1607	924	7288	1333	1871
ENSMUSG00000018470	17	0	12	6	31	1
ENSMUSG00000018500	38	4	70	4	78	2
ENSMUSG00000018507	646	74	744	358	1007	80
ENSMUSG00000018566	5	233	3	1154	7	330
ENSMUSG00000018581	25	4	9	57	20	1
ENSMUSG00000018589	0	0	0	0	0	0
ENSMUSG00000018595	1	0	0	0	3	0
ENSMUSG00000018620	0	0	0	0	0	0
ENSMUSG00000018623	0	0	0	0	0	0
ENSMUSG00000018634	0	0	0	0	0	0
ENSMUSG00000018656	1	0	0	0	0	0
ENSMUSG00000018698	0	0	1	0	0	0
ENSMUSG00000018862	0	0	0	0	0	0
ENSMUSG00000018893	0	0	0	0	0	0
ENSMUSG00000018907	9	0	0	9	4	0
ENSMUSG00000018914	0	0	0	0	0	0
ENSMUSG00000018916	0	0	0	0	1	0
ENSMUSG00000018924	162	12	9	199	222	29
ENSMUSG00000018973	0	0	0	0	0	0
ENSMUSG00000018983	806	4030	712	21195	1269	4136
ENSMUSG00000019143	472	170	362	717	658	263
ENSMUSG00000019146	0	0	0	0	0	0
ENSMUSG00000019232	0	0	0	0	1	0
ENSMUSG00000019320	3	0	5	11	13	0
ENSMUSG00000019429	0	0	0	0	0	0
ENSMUSG00000019464	23	2	10	10	17	0
ENSMUSG00000019489	0	0	1	0	0	0
ENSMUSG00000019539	303	222	510	1119	620	108
ENSMUSG00000019756	0	0	0	0	0	0
ENSMUSG00000019762	17	4	26	67	39	3
ENSMUSG00000019772	0	0	0	0	0	0
ENSMUSG00000019775	0	0	0	0	0	1
ENSMUSG00000019779	8	0	12	25	22	3
ENSMUSG00000019785	0	0	0	0	0	0
ENSMUSG00000019803	0	0	0	0	0	0
ENSMUSG00000019815	0	0	0	1	0	0
ENSMUSG00000019828	0	0	0	1	0	0
ENSMUSG00000019834	0	0	0	0	0	0
ENSMUSG00000019888	0	0	0	0	0	0
ENSMUSG00000019892	0	0	0	0	0	0
ENSMUSG00000019900	1	0	0	0	0	0
ENSMUSG00000019905	0	0	0	0	1	0
ENSMUSG00000019909	0	0	0	0	0	0
ENSMUSG00000019913	0	0	0	0	0	0
ENSMUSG00000019936	0	0	1	0	0	0
ENSMUSG00000019997	37	8	56	55	35	4
ENSMUSG00000020033	0	0	0	0	0	0
ENSMUSG00000020037	0	0	0	0	1	0
ENSMUSG00000020044	89	27	255	148	122	16
ENSMUSG00000020061	0	0	0	1	12	0
ENSMUSG00000020067	24	2	24	10	52	3
ENSMUSG00000020080	75	27	75	467	136	51
ENSMUSG00000020081	0	1	0	0	0	0
ENSMUSG00000020090	0	0	0	0	0	0
ENSMUSG00000020096	0	0	0	0	0	0
ENSMUSG00000020099	95	13	96	149	104	5
ENSMUSG00000020116	275	232	325	771	419	303
ENSMUSG00000020123	72	57	100	348	115	71
ENSMUSG00000020137	181	93	196	309	253	133
ENSMUSG00000020164	0	0	0	1	0	0
ENSMUSG00000020168	0	0	0	0	0	0
ENSMUSG00000020169	0	0	0	0	0	0
ENSMUSG00000020177	0	0	0	0	1	0
ENSMUSG00000020213	0	0	0	0	1	0
ENSMUSG00000020214	0	0	0	0	0	0
ENSMUSG00000020227	31	5	32	35	46	2
ENSMUSG00000020229	0	0	0	1	0	0
ENSMUSG00000020234	7	3	2	45	22	3
ENSMUSG00000020241	225	73	209	599	498	26
ENSMUSG00000020261	318	121	328	742	501	123
ENSMUSG00000020263	556	72	553	404	702	72
ENSMUSG00000020270	0	0	0	0	0	0
ENSMUSG00000020282	329	39	249	343	413	47
ENSMUSG00000020295	12	62	13	176	7	60
ENSMUSG00000020299	0	0	0	0	0	0
ENSMUSG00000020303	392	38	553	115	418	35
ENSMUSG00000020310	7	4	18	5	16	0
ENSMUSG00000020317	0	0	0	0	0	0
ENSMUSG00000020323	72	27	52	97	68	20
ENSMUSG00000020332	0	0	0	0	0	0
ENSMUSG00000020334	54	461	23	1914	62	613
ENSMUSG00000020340	252	48	179	301	345	51
ENSMUSG00000020376	421	186	426	768	523	212
ENSMUSG00000020383	0	0	0	1	0	0
ENSMUSG00000020405	0	0	0	0	0	0
ENSMUSG00000020411	0	0	0	0	0	0
ENSMUSG00000020428	0	0	0	0	0	0
ENSMUSG00000020436	0	0	0	0	0	0
ENSMUSG00000020447	3	0	2	10	11	0
ENSMUSG00000020469	25	11	42	608	18	11
ENSMUSG00000020542	0	0	1	0	0	0
ENSMUSG00000020545	1	0	0	0	0	0
ENSMUSG00000020548	0	0	0	0	0	0
ENSMUSG00000020562	0	0	0	0	0	0
ENSMUSG00000020581	0	0	0	0	0	1
ENSMUSG00000020583	0	0	1	2	2	0
ENSMUSG00000020591	0	0	0	0	0	0
ENSMUSG00000020622	0	0	0	0	0	0
ENSMUSG00000020624	0	0	0	0	0	0
ENSMUSG00000020633	0	0	0	1	0	0
ENSMUSG00000020647	126	12	118	130	206	31
ENSMUSG00000020651	0	0	0	0	0	0
ENSMUSG00000020673	0	0	0	0	0	0
ENSMUSG00000020676	0	0	0	0	0	0
ENSMUSG00000020686	0	0	0	0	0	0
ENSMUSG00000020690	0	0	0	0	0	0
ENSMUSG00000020695	60	25	60	191	125	6
ENSMUSG00000020702	0	0	0	0	0	0
ENSMUSG00000020703	0	0	0	0	0	0
ENSMUSG00000020713	0	0	0	0	0	0
ENSMUSG00000020783	908	502	1128	2188	1504	676
ENSMUSG00000020787	282	102	397	272	331	71
ENSMUSG00000020805	0	0	0	0	0	0
ENSMUSG00000020821	301	118	436	1130	522	161
ENSMUSG00000020827	1009	125	725	1405	1972	188
ENSMUSG00000020866	9	43	6	506	38	72
ENSMUSG00000020867	0	0	0	0	0	0
ENSMUSG00000020869	1558	700	1595	5592	3200	1223
ENSMUSG00000020872	0	0	0	0	0	1
ENSMUSG00000020887	0	0	0	1	0	0
ENSMUSG00000020890	0	1	0	0	0	0
ENSMUSG00000020898	942	407	931	1610	1563	417
ENSMUSG00000020901	40	14	38	74	49	24
ENSMUSG00000020904	0	0	0	0	0	0
ENSMUSG00000020908	0	2	1	17	203	0
ENSMUSG00000020912	0	0	0	0	0	0
ENSMUSG00000020913	0	0	0	0	0	0
ENSMUSG00000020916	0	0	0	0	0	0
ENSMUSG00000020928	0	0	0	1	0	0
ENSMUSG00000020932	162	362	118	2288	334	526
ENSMUSG00000020936	1629	1158	1781	4074	2552	1258
ENSMUSG00000020945	0	0	0	0	0	0
ENSMUSG00000020950	0	0	0	0	0	0
ENSMUSG00000020952	418	212	481	676	638	257
ENSMUSG00000020961	2327	248	1942	1308	4024	263
ENSMUSG00000020990	6	10	8	115	5	18
ENSMUSG00000021032	14	2	5	5	14	0
ENSMUSG00000021055	1	0	0	0	0	0
ENSMUSG00000021070	0	0	0	0	0	0
ENSMUSG00000021078	0	0	0	0	0	0
ENSMUSG00000021086	0	0	0	0	0	0
ENSMUSG00000021095	0	0	0	0	0	0
ENSMUSG00000021099	0	0	0	0	0	0
ENSMUSG00000021101	0	0	0	0	0	0
ENSMUSG00000021189	436	253	482	803	547	314
ENSMUSG00000021196	719	139	862	375	997	82
ENSMUSG00000021207	0	0	0	0	0	0
ENSMUSG00000021208	0	0	0	0	0	0
ENSMUSG00000021214	1	0	0	0	0	0
ENSMUSG00000021217	8	8	18	12	8	0
ENSMUSG00000021223	9	4	9	81	22	1
ENSMUSG00000021239	0	0	0	0	1	0
ENSMUSG00000021256	16	4	72	72	42	3
ENSMUSG00000021259	11	1	3	16	13	0
ENSMUSG00000021260	0	0	0	1	0	0
ENSMUSG00000021263	1	0	0	0	0	0
ENSMUSG00000021265	13	11	16	28	42	1
ENSMUSG00000021279	183	32	350	723	403	65
ENSMUSG00000021301	118	2	172	19	193	3
ENSMUSG00000021303	0	0	0	0	0	0
ENSMUSG00000021314	10	4	11	16	10	0
ENSMUSG00000021335	0	0	1	0	0	0
ENSMUSG00000021337	0	0	0	0	0	0
ENSMUSG00000021342	0	0	0	0	0	0
ENSMUSG00000021345	0	0	0	0	0	0
ENSMUSG00000021346	0	0	0	0	0	0
ENSMUSG00000021347	0	0	0	0	0	0
ENSMUSG00000021348	0	0	0	0	0	0
ENSMUSG00000021362	0	0	0	1	0	0
ENSMUSG00000021375	132	46	140	323	211	42
ENSMUSG00000021403	0	0	0	0	0	0
ENSMUSG00000021404	0	0	0	0	0	0
ENSMUSG00000021411	65	73	136	219	101	51
ENSMUSG00000021415	0	0	0	0	0	0
ENSMUSG00000021416	0	0	15	2	2	1
ENSMUSG00000021439	0	0	0	0	0	0
ENSMUSG00000021440	0	0	0	0	0	0
ENSMUSG00000021441	0	0	0	0	0	0
ENSMUSG00000021469	0	0	0	0	0	0
ENSMUSG00000021478	0	0	0	0	0	0
ENSMUSG00000021481	526	229	456	831	743	331
ENSMUSG00000021488	1218	570	1559	2728	2050	665
ENSMUSG00000021490	0	0	0	0	0	0
ENSMUSG00000021495	920	364	739	1453	1380	341
ENSMUSG00000021506	0	0	0	0	1	0
ENSMUSG00000021538	0	0	0	0	0	0
ENSMUSG00000021541	0	0	0	0	0	0
ENSMUSG00000021545	0	0	0	0	0	0
ENSMUSG00000021553	1	0	0	0	0	0
ENSMUSG00000021566	0	0	0	0	0	0
ENSMUSG00000021579	0	0	0	0	0	0
ENSMUSG00000021587	0	0	0	0	0	0
ENSMUSG00000021598	0	0	0	0	0	0
ENSMUSG00000021600	0	0	0	0	0	0
ENSMUSG00000021612	0	0	0	0	0	0
ENSMUSG00000021614	21	3	22	56	90	5
ENSMUSG00000021622	0	0	0	0	0	0
ENSMUSG00000021647	0	0	0	1	0	0
ENSMUSG00000021679	0	0	0	0	0	0
ENSMUSG00000021680	0	0	0	0	0	0
ENSMUSG00000021685	0	0	0	0	0	0
ENSMUSG00000021700	0	1	0	0	0	0
ENSMUSG00000021718	0	0	0	1	0	0
ENSMUSG00000021721	0	0	0	0	0	0
ENSMUSG00000021732	36	2	34	13	50	6
ENSMUSG00000021743	0	0	0	0	0	0
ENSMUSG00000021749	1	0	0	0	0	0
ENSMUSG00000021763	6	0	5	23	6	0
ENSMUSG00000021767	112	17	114	230	259	37
ENSMUSG00000021790	9	0	10	1	12	0
ENSMUSG00000021797	0	0	0	0	0	0
ENSMUSG00000021799	0	0	0	0	0	0
ENSMUSG00000021804	0	0	0	0	0	0
ENSMUSG00000021806	177	30	287	594	321	62
ENSMUSG00000021810	750	474	802	1829	1344	629
ENSMUSG00000021823	493	41	835	1021	1059	195
ENSMUSG00000021831	2444	214	2687	767	3420	264
ENSMUSG00000021835	14	1	3	27	17	2
ENSMUSG00000021848	0	0	0	0	0	0
ENSMUSG00000021852	0	0	0	0	0	0
ENSMUSG00000021867	0	0	0	0	0	0
ENSMUSG00000021871	0	0	0	0	0	0
ENSMUSG00000021872	0	0	0	1	0	0
ENSMUSG00000021908	169	29	149	811	305	173
ENSMUSG00000021919	0	0	0	0	0	0
ENSMUSG00000021943	202	79	232	715	340	24
ENSMUSG00000021953	0	0	0	0	0	0
ENSMUSG00000021961	0	0	0	0	0	0
ENSMUSG00000021966	0	0	0	0	0	0
ENSMUSG00000021977	0	0	0	0	0	0
ENSMUSG00000022002	0	0	0	0	0	0
ENSMUSG00000022012	3	0	5	8	9	0
ENSMUSG00000022018	29	671	31	1466	34	795
ENSMUSG00000022025	0	1	0	0	0	0
ENSMUSG00000022061	0	0	0	0	0	0
ENSMUSG00000022066	0	0	0	0	1	0
ENSMUSG00000022076	0	0	0	0	0	0
ENSMUSG00000022085	0	0	0	0	1	0
ENSMUSG00000022097	0	0	0	0	0	0
ENSMUSG00000022099	11	4812	14	20020	12	4984
ENSMUSG00000022100	1553	4965	1223	24667	2433	7639
ENSMUSG00000022112	0	0	0	0	0	0
ENSMUSG00000022113	0	0	0	0	0	0
ENSMUSG00000022116	0	0	0	0	0	0
ENSMUSG00000022144	0	0	0	0	0	0
ENSMUSG00000022146	10	0	14	8	8	1
ENSMUSG00000022155	0	0	0	0	0	0
ENSMUSG00000022156	0	0	0	0	0	0
ENSMUSG00000022187	0	0	0	0	0	0
ENSMUSG00000022212	17	2	19	5	42	2
ENSMUSG00000022229	0	0	1	0	0	0
ENSMUSG00000022234	6180	6101	7893	14301	9815	5980
ENSMUSG00000022243	0	0	0	3	0	0
ENSMUSG00000022245	0	0	0	0	0	0
ENSMUSG00000022262	0	0	1	0	0	0
ENSMUSG00000022269	0	0	0	0	0	0
ENSMUSG00000022288	0	0	0	0	0	0
ENSMUSG00000022315	0	0	0	0	0	0
ENSMUSG00000022324	9	1	11	18	16	1
ENSMUSG00000022329	230	271	306	1108	334	333
ENSMUSG00000022342	0	0	0	0	0	0
ENSMUSG00000022347	0	0	0	0	0	0
ENSMUSG00000022357	0	0	0	0	1	0
ENSMUSG00000022362	0	0	0	0	1	0
ENSMUSG00000022366	0	0	0	0	0	0
ENSMUSG00000022375	0	0	0	0	0	0
ENSMUSG00000022376	0	0	0	0	0	0
ENSMUSG00000022388	0	0	0	0	0	0
ENSMUSG00000022431	0	0	1	0	0	0
ENSMUSG00000022435	0	0	0	0	0	0
ENSMUSG00000022441	0	0	0	0	0	0
ENSMUSG00000022484	0	0	0	0	0	0
ENSMUSG00000022487	0	0	0	0	0	0
ENSMUSG00000022491	0	0	0	0	0	0
ENSMUSG00000022501	0	0	1	0	0	0
ENSMUSG00000022510	0	0	0	0	0	0
ENSMUSG00000022525	0	0	0	0	0	0
ENSMUSG00000022542	0	0	0	0	0	0
ENSMUSG00000022543	5	0	10	13	16	3
ENSMUSG00000022565	521	98	391	1260	1084	119
ENSMUSG00000022583	0	0	2	0	0	0
ENSMUSG00000022586	0	0	0	0	0	0
ENSMUSG00000022589	0	0	0	0	0	0
ENSMUSG00000022591	0	0	0	0	0	0
ENSMUSG00000022594	0	1	0	0	0	0
ENSMUSG00000022595	0	0	0	0	0	0
ENSMUSG00000022596	0	0	0	0	0	0
ENSMUSG00000022603	0	0	0	0	0	0
ENSMUSG00000022639	30	6	38	8	7	10
ENSMUSG00000022650	1	0	0	0	0	0
ENSMUSG00000022652	0	0	0	0	1	0
ENSMUSG00000022657	0	1	5	16	7	1
ENSMUSG00000022687	18	5	12	23	32	1
ENSMUSG00000022705	0	0	0	0	0	0
ENSMUSG00000022715	1	0	0	0	0	0
ENSMUSG00000022738	0	0	0	1	0	0
ENSMUSG00000022754	16	13	15	9	22	0
ENSMUSG00000022759	0	0	0	1	0	0
ENSMUSG00000022798	0	0	0	0	0	0
ENSMUSG00000022801	38	3	42	144	99	16
ENSMUSG00000022818	1	0	0	0	0	0
ENSMUSG00000022832	0	0	0	0	0	0
ENSMUSG00000022838	4	5	4	14	13	7
ENSMUSG00000022857	0	0	0	0	0	0
ENSMUSG00000022861	17	0	19	23	17	3
ENSMUSG00000022886	0	0	0	0	0	0
ENSMUSG00000022893	200	45	217	383	284	31
ENSMUSG00000022900	0	0	0	1	0	0
ENSMUSG00000022931	0	0	0	0	0	0
ENSMUSG00000022935	0	0	0	1	0	0
ENSMUSG00000022938	0	0	0	0	0	0
ENSMUSG00000022949	14	0	14	10	22	1
ENSMUSG00000022956	1819	3132	2656	2933	2705	1901
ENSMUSG00000022986	0	0	0	0	0	0
ENSMUSG00000022987	5	0	1	13	6	0
ENSMUSG00000022991	0	0	0	0	0	0
ENSMUSG00000022997	0	0	0	0	0	0
ENSMUSG00000023013	0	0	0	0	0	0
ENSMUSG00000023017	15	6	23	99	59	9
ENSMUSG00000023041	0	0	0	0	0	0
ENSMUSG00000023073	0	0	0	0	0	0
