gene_id	ERR031017	ERR031018	ERR031019	ERR031022	ERR031023	ERR031024	ERR031025	ERR031026	ERR031027	ERR031028	ERR031029	ERR031030	ERR031031	ERR031032	ERR031033	ERR031035	ERR031038	ERR031039	ERR031040	ERR031041	ERR031042	ERR031043	ERR031044	ERR299295	ERR299296	ERR299297	ERR299298	ERR299299
ENSG00000019102	3701	48	1968	101	1772	235	590	114	4374	193	1365	603	980	124	933	2650	316	1068	474	2405	284	2695	1	427	646	77	261	2256
ENSG00000019169	0	1	6	40	2	0	67	3	2	4	13	43	95	0	0	32	15	0	0	0	11	8	0	2	32	0	25	24
ENSG00000019186	4	5	465	4	62	83	315	0	7	0	49	0	146	20	11	233	62	8	46	69	0	38	0	232	172	2	31	146
ENSG00000022355	0	6	3	4	0	0	0	4	0	0	25	2	0	0	38	12	140	2	0	11	2	25	0	0	12	2	0	11
ENSG00000022556	14	58	228	2	507	71	11	0	12	9	659	26	19	6	435	421	77	545	814	141	769	660	1058	560	3	13	30	517
ENSG00000024526	0	39	84	431	159	89	20	50	3	11	22	0	498	1273	137	4	130	50	90	11	180	279	12	31	176	82	14	143
ENSG00000027001	98	1197	2328	2819	317	1666	440	3868	127	266	1013	2626	1975	11529	1489	813	1831	1808	529	1896	10611	2035	1970	3614	542	75	1245	4219
ENSG00000028137	163	296	1109	414	497	374	1634	655	213	186	451	688	799	286	254	652	447	193	294	312	194	142	153	479	577	135	243	484
ENSG00000030066	202	465	1437	707	435	875	1301	786	420	618	630	723	1233	1030	1104	448	563	463	655	712	504	704	417	690	1243	600	683	1141
ENSG00000031003	482	619	1809	1248	747	1030	2708	1527	788	696	885	1008	3332	2273	1688	826	1004	575	959	1097	1135	1069	842	949	1832	567	844	1431
ENSG00000032444	356	581	543	209	235	178	994	538	319	418	208	327	816	471	399	518	231	221	306	878	463	487	439	349	338	107	162	356
ENSG00000035720	10	113	67	96	17	99	48	116	15	11	26	59	60	84	84	30	338	1	18	41	48	191	672	150	88	7	31	51
ENSG00000036530	59	596	73	345	33	233	182	239	72	737	88	238	145	194	46	118	286	70	253	153	238	132	280	605	152	277	171	47
ENSG00000036565	0	4	8	135	23	80	10	0	2	1	2	3	4	9	6	4	4	11	2	7	0	9	0	12	14	79	2	14
ENSG00000037757	145	289	524	433	345	287	754	714	349	445	342	406	970	875	462	373	569	502	502	514	292	495	364	345	669	253	308	694
ENSG00000039139	22	661	547	1334	46	126	199	753	42	1150	260	1180	530	4511	298	126	2260	333	995	448	659	628	570	1975	291	358	657	1647
ENSG00000040531	179	349	622	391	250	188	718	548	267	291	303	294	781	593	723	390	458	460	532	801	466	461	583	516	570	179	316	529
ENSG00000042304	0	6	0	4	0	2	0	0	0	4	1	1	0	0	1	4	5	0	2	0	0	4	0	0	2	2	3	0
ENSG00000042813	0	3	7	0	0	5	0	0	0	2	0	0	0	2	2	0	0	10	0	8	0	2	0	0	1	0	0	9
ENSG00000043355	0	0	2	158	10	339	0	8	2	89	0	77	65	471	2	0	13	0	14	2	13	10	53	0	0	579	187	12
ENSG00000046604	2588	1436	4982	3070	3276	4680	3021	3778	3176	1210	3198	962	4397	4713	5917	3169	2947	3825	3112	4384	3134	4544	3176	2199	4492	2823	1903	6126
ENSG00000046774	0	0	0	77	0	0	0	0	0	0	0	0	0	55	0	0	40	0	0	0	0	0	3	0	0	0	0	2
ENSG00000047457	59	16	3428	171	426	189	2405	32	111	66	198	119	1603	946	96	1014	307	10	199	63	0	95	0	2060	616	121	682	835
ENSG00000048544	805	718	1539	1440	1277	1072	1500	1084	1234	929	1683	1309	1524	1561	2485	1774	1506	1192	1421	1266	1922	1691	1718	1239	1548	962	1231	1835
ENSG00000049249	0	14	72	10	21	60	75	42	6	14	34	48	16	14	3	33	20	0	4	22	0	1	5	38	19	2	40	9
ENSG00000050628	66	20	124	129	56	98	253	153	69	63	106	128	793	126	140	78	99	91	98	70	307	78	26	36	143	30	129	170
ENSG00000052850	0	0	9	8	20	176	2	9	6	0	11	8	4	45	0	9	0	0	0	10	3	0	8	10	0	0	2	4
ENSG00000054277	0	5	73	27	20	22	48	25	1	12	14	18	30	41	31	25	45	12	31	49	3	0	2	19	37	13	26	78
ENSG00000055118	248	332	443	208	302	136	1014	371	506	479	502	343	751	144	312	602	210	284	199	462	170	359	64	395	395	54	178	290
ENSG00000057149	18	5	81	0	160	23	118	0	4	0	89	0	15	6	8	102	19	0	2	0	0	0	4	8	55	3	10	19
ENSG00000057468	0	3	0	0	0	50	7	1	0	9	1	14	6	4	0	0	0	0	2	0	12	0	0	14	10	1	7	0
ENSG00000057657	179	254	717	994	592	814	1615	582	279	304	378	396	570	416	341	939	705	254	392	319	154	527	251	592	1215	275	376	851
ENSG00000059377	83	134	460	576	167	175	1214	522	110	249	76	295	445	494	860	254	284	659	221	687	321	613	117	159	899	185	162	402
ENSG00000060237	1228	2482	8146	3949	2104	3029	8130	4250	2021	2241	2573	3182	8063	9598	4738	2245	3104	2561	3515	4255	3922	3043	2837	3071	4932	2981	3104	5412
ENSG00000060718	27	18	0	51	0	22	82	6	0	21	11	22	68	141	10	4	0	0	0	3	38	0	0	11	4	17	8	4
ENSG00000061492	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000061938	477	1550	757	565	493	740	1115	934	664	1244	319	671	1304	1366	504	410	485	487	1269	1144	528	699	1270	1202	602	403	461	577
ENSG00000063854	626	477	593	835	669	728	835	828	654	495	696	603	720	637	981	1007	453	980	776	1114	927	721	895	589	704	360	475	602
ENSG00000064195	22	7	18	12	34	2	13	3	37	19	23	6	65	21	22	41	8	43	25	93	0	0	0	10	10	6	17	24
ENSG00000064489	0	4	1	4	2	1	3	0	2	2	1	1	5	0	0	0	2	0	2	3	0	4	0	2	0	1	0	1
ENSG00000064835	0	4	4	0	2	1	4	0	4	0	0	4	0	0	2	0	0	0	0	7	6	2	0	2	4	0	0	0
ENSG00000064886	65	25	562	65	238	22	419	250	48	86	139	63	188	38	227	1043	210	22	44	7	8	17	8	62	210	185	40	353
ENSG00000065371	0	6	6	5	0	0	0	8	2	0	6	5	7	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0
ENSG00000065609	8	106	87	72	29	378	250	127	50	135	80	64	178	17	776	18	18	60	101	277	155	135	0	295	176	247	139	114
ENSG00000065618	1251	150	2354	217	954	175	2092	4	1021	162	1203	137	1207	57	670	1203	254	448	331	1762	228	527	0	306	2150	51	238	1057
ENSG00000065989	192	185	842	191	473	177	657	262	306	169	450	308	342	122	457	520	159	494	188	566	87	399	121	405	462	93	156	407
ENSG00000066279	3	58	23	36	17	91	83	36	11	13	18	11	42	248	50	12	112	11	115	5	128	0	26	21	44	89	32	40
ENSG00000066651	47	182	266	294	105	412	564	382	162	467	226	328	357	405	518	333	310	88	311	277	229	265	260	268	517	216	395	434
ENSG00000066813	1	11	0	6	6	0	0	9	2	9	0	1	0	0	0	7	11	0	7	0	239	0	6	2	1	0	2	0
ENSG00000067369	124	656	1990	674	309	702	1426	745	278	444	478	600	1795	1460	1010	475	684	480	591	886	453	686	539	854	1411	324	648	1163
ENSG00000068308	871	1268	2216	1272	1037	1023	2600	1831	1027	1362	1133	1510	2312	1869	2226	1685	1224	1542	1428	2601	1517	2087	1377	1610	1915	666	1007	2023
ENSG00000069206	0	1465	2	46	0	84	0	0	0	39	0	86	38	631	6	2	6	8	2	8	4	7	3	0	0	1	765	19
ENSG00000070214	622	595	2805	1315	1587	2114	2636	1387	1064	965	1843	1753	2925	2057	2280	1395	1378	1023	1644	1737	1263	1336	757	1186	2118	1336	1373	2639
ENSG00000070729	0	0	3	5	2	0	0	0	0	0	3	0	0	0	0	14	3	0	4	10	0	1	0	0	0	0	0	8
ENSG00000070731	4	3	169	12	33	9	83	8	18	2	42	13	73	12	62	15	5	27	18	66	0	15	10	31	92	5	5	54
ENSG00000070985	1	1	0	0	1	3	2	8	2	0	5	0	4	0	0	4	2	0	1	0	0	0	1	4	2	0	0	0
ENSG00000071203	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	22	4	0	1	4	0
ENSG00000072840	95	158	1075	192	114	149	1242	558	148	158	114	204	1024	739	362	246	237	214	115	514	112	242	112	273	467	79	101	646
ENSG00000073050	483	447	508	346	461	393	759	415	538	462	364	334	546	328	482	552	249	439	408	548	286	520	452	278	431	191	295	353
ENSG00000073282	225	44	2585	139	993	187	1508	0	396	58	795	158	1159	144	1267	645	146	773	630	1239	82	587	37	212	1853	66	220	1214
ENSG00000074803	0	8	19	0	2	30	20	0	20	0	4	9	19	10	22	9	5	0	5	11	17	19	0	9	0	0	31	87
ENSG00000075043	7	89	2	7	0	2	100	27	29	15	2	6	4	19	0	1	19	0	20	7	30	1	16	0	16	1	7	2
ENSG00000075413	795	2384	2067	2430	1152	2694	2627	2339	1265	2663	1623	2559	2447	2267	1898	1925	2243	1262	2546	2192	1309	2238	2161	3052	2609	1837	2512	1844
ENSG00000075461	308	277	1093	1067	143	18	1482	439	211	94	93	11	1521	939	1864	271	294	2431	358	3428	300	2528	506	183	895	43	30	1589
ENSG00000075673	15	17	6	7	37	3	0	0	10	2	46	0	10	6	9	14	1	12	4	2	155	0	0	8	11	7	8	20
ENSG00000075886	134	71	28	78	5	2	513	77	61	67	3	20	78	63	1463	84	118	75	32	226	31	1095	41	10	1464	59	67	509
ENSG00000075914	620	547	627	633	635	502	787	652	707	436	821	598	820	802	958	643	570	692	569	1090	901	969	535	489	745	309	390	719
ENSG00000076662	0	9	56	3	11	6	45	49	4	0	4	6	54	21	12	5	8	0	0	4	4	14	0	8	33	3	2	15
ENSG00000076706	1385	1613	1835	1977	1982	804	4522	1376	2294	1441	2681	2137	3871	938	1207	1269	970	1786	1295	2002	1308	2476	581	1365	2006	506	701	1396
ENSG00000076944	340	679	156	332	211	220	408	809	329	659	169	228	512	396	382	283	282	211	484	597	1018	1154	1321	313	370	286	221	312
ENSG00000077327	18	205	194	235	51	259	28	28	32	7	103	50	24	25	303	90	72	198	58	166	30	338	169	34	89	2	11	433
ENSG00000077463	221	375	193	283	302	203	309	278	389	254	280	292	203	184	368	351	231	294	325	405	216	389	323	282	304	220	193	249
ENSG00000077522	1	191	19	413	0	17	130	31	24	15	357	7	41	10	28	49	114	0	2	17	92	24	87	112	247	9	70	15
ENSG00000077782	1673	2358	3329	2190	1961	1482	6476	2171	2224	2244	3058	2553	4619	1365	1803	3436	1792	1661	1459	2000	897	1705	831	2194	3591	1082	1277	1732
ENSG00000078098	18	57	49	62	9	158	189	134	31	20	21	137	394	493	15	8	53	14	143	0	85	20	133	42	45	27	79	55
ENSG00000078898	506	18	230	94	851	8	45	39	449	123	373	111	93	7	93	339	20	199	93	106	62	241	0	125	50	458	52	249
ENSG00000078900	21	39	179	35	130	31	86	18	43	11	97	31	177	37	39	105	7	59	71	241	14	34	57	43	68	5	30	36
ENSG00000079112	0	19	174	13	31	7	50	7	25	23	18	4	47	9	41	19	10	30	18	15	16	0	5	39	72	45	2	49
ENSG00000079215	84	118	237	708	239	179	1147	1132	183	328	254	502	414	457	484	184	685	42	106	277	171	251	265	91	915	291	586	457
ENSG00000079689	51	102	155	968	129	99	70	241	82	15	881	248	39	26	198	190	337	59	18	325	425	81	0	19	135	526	56	459
ENSG00000080371	809	882	2468	2016	1605	2123	2674	1641	1415	1124	2243	1790	2793	3054	3146	1925	1643	1699	1828	1915	2333	3222	2049	2078	2627	1421	1767	2605
ENSG00000081041	7	17	768	172	1126	70	539	23	47	18	159	67	237	36	67	1004	157	12	110	119	29	88	17	439	435	85	119	423
ENSG00000081138	35	25	59	13	128	224	64	4	76	194	47	143	220	43	44	68	25	23	123	22	9	24	7	73	68	39	165	23
ENSG00000081479	46	45	85	6	34	12	0	0	27	0	15	14	55	25	24	27	6	2	4	47	0	3	0	40	0	0	8	51
ENSG00000081800	0	8	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000082196	36	1485	103	214	111	768	118	1283	84	206	52	222	410	531	86	89	274	38	277	108	9846	271	15075	461	144	228	314	144
ENSG00000082293	0	35	0	91	0	2	23	0	7	6	11	0	87	10	4	6	6	0	5	6	3	0	10	0	20	0	4	6
ENSG00000084628	99	136	53	28	148	374	44	115	88	107	15	58	107	68	90	19	21	149	195	117	0	214	88	12	39	272	76	215
ENSG00000084710	24	34	58	51	24	49	125	42	14	30	39	32	61	59	12	45	15	38	43	7	11	16	15	38	21	25	20	10
ENSG00000085982	578	1352	1349	928	576	1121	1512	1407	840	1241	631	1103	1463	1766	1107	878	1055	736	983	1357	1017	805	1150	1171	1051	688	1099	1329
ENSG00000086288	0	67	7	14	6	57	16	15	0	54	5	41	35	51	6	0	21	6	38	6	6	0	0	35	25	16	15	1
ENSG00000086548	13	0	302	23	460	63	158	6	36	6	180	2	73	15	51	194	83	31	31	88	75	12	0	115	336	14	52	79
ENSG00000086967	15	0	5	62	7	4	16	15	3	0	45	5	16	6	5	19	7	0	0	0	14	0	0	2	2	0	0	9
ENSG00000086991	0	27	23	93	8	64	120	58	7	93	13	177	65	328	19	34	52	35	233	26	125	9	23	46	64	88	99	34
ENSG00000087128	11	31	35	304	143	74	13	61	42	3	75	8	58	430	37	34	15	74	18	58	119	105	181	4	159	2	25	98
ENSG00000087191	1431	1797	2597	2353	2205	1568	3284	2613	2230	2003	2478	2533	2962	2261	3885	3555	2044	2794	2610	3920	2885	3157	3013	2402	2872	1147	1673	2711
ENSG00000088038	433	770	934	573	540	594	1611	1157	687	625	464	634	1356	996	1067	758	546	766	694	1338	739	1084	1016	820	1100	404	535	796
ENSG00000088298	365	355	623	589	501	392	893	848	499	365	422	436	718	907	893	555	579	880	728	914	720	657	608	520	675	400	494	843
ENSG00000088726	102	6	21	8	440	50	46	5	103	13	221	21	38	13	45	145	38	64	30	125	21	100	3	9	182	16	7	67
ENSG00000088782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000088827	0	98	146	106	46	117	484	266	13	55	34	296	328	110	52	89	76	18	55	80	65	25	40	302	65	49	127	100
ENSG00000089199	169	111	67	657	20	20	210	29	76	252	36	6	90	29	171	39	74	49	19	44	0	40	1	39	73	233	57	49
ENSG00000089250	106	75	499	20	354	84	439	0	108	23	205	42	190	14	156	301	25	139	67	260	6	166	6	92	409	41	84	158
ENSG00000089280	1953	3489	4729	4396	3791	6240	6495	4962	2732	4897	3234	4786	7206	6457	3687	4188	3418	2288	4593	4793	3045	3632	3787	5532	4384	2237	3830	4893
ENSG00000089472	381	528	953	768	515	390	2242	735	731	666	1042	954	1432	481	645	1101	646	570	583	591	645	577	227	480	947	199	473	676
ENSG00000090061	0	25	560	163	94	69	409	246	92	35	95	90	557	534	434	134	141	195	84	265	100	76	88	142	322	32	111	494
ENSG00000090104	266	548	936	3985	994	4641	8234	3314	462	1409	1093	2748	2057	1367	1557	1465	3659	350	1667	631	486	1460	1903	1941	7168	771	2470	2835
ENSG00000090402	3	12	55	164	26	236	60	214	30	2	34	13	76	370	141	4	54	31	17	105	68	66	0	90	240	114	81	51
ENSG00000090889	0	43	29	46	20	47	33	77	10	1	8	4	34	156	25	23	84	48	103	19	269	0	13	18	22	69	11	23
ENSG00000090932	0	11	4	3	1	6	11	1	0	9	7	17	0	5	8	0	0	7	13	2	38	0	6	35	2	14	0	0
ENSG00000091129	6	110	172	285	25	353	229	276	35	169	26	304	132	476	195	6	175	54	105	27	2	53	144	37	79	224	72	418
ENSG00000091138	2	9	1	82	0	1	95	44	22	11	0	1	110	300	68	12	7	31	21	135	84	111	206	0	62	6	0	28
ENSG00000091482	19	2	4	143	2	0	15	0	1	0	78	2	8	19	2	30	3	0	9	0	24	2	16	0	2	4	6	2
ENSG00000092009	0	1	67	37	24	10	6	0	2	0	10	36	142	7	78	34	21	1	4	46	30	8	15	12	33	9	4	37
ENSG00000092054	0	8	2	830	0	0	12	86	5	0	631	1	3	0	1	1	3	0	0	0	280	21	77	1	4	0	0	0
ENSG00000092200	0	81	26	58	0	45	38	51	12	28	5	41	35	149	10	3	90	11	35	35	31	18	58	28	14	26	11	27
ENSG00000092295	47	32	66	13	61	13	165	5	89	30	18	5	97	16	78	150	12	28	37	65	0	86	3	40	53	15	14	36
ENSG00000092607	0	21	0	23	9	19	9	2	5	17	14	15	6	69	2	0	4	0	4	6	38	0	0	4	6	2	22	12
ENSG00000093134	0	8	47	42	32	9	68	18	8	7	4	29	25	17	5	29	35	4	0	0	0	0	1	32	50	7	38	11
ENSG00000094755	126	38	1669	204	2290	895	2360	18	519	100	1563	144	967	363	384	1290	257	125	167	414	49	381	22	732	590	171	651	689
ENSG00000095110	66	2	10	7	98	198	7	0	251	13	1	17	33	5	2	10	5	0	10	0	0	0	13	6	10	26	15	2
ENSG00000095627	27	33	38	43	24	655	4	31	14	1170	17	488	56	279	19	46	43	135	712	41	61	76	51	25	37	1278	1172	76
ENSG00000095777	6	26	12	0	4	0	13	0	12	0	4	0	8	0	9	2	7	0	0	0	0	0	0	12	5	0	1	24
ENSG00000095917	17	49	6	55	19	20	220	119	5	31	1	16	282	33	34	11	28	1	15	50	26	19	62	4	137	2	5	42
ENSG00000096006	108	19	14	573	884	20418	13	66	65	1205	7	1873	112	572	37	37	164	4	9	6	0	52	4723	103	46	11	4604	181
ENSG00000096088	2003	165	250	144	656	31	265	199	1760	104	26	33	693	626	62	346	84	633	6605	70	2537	2392	274	90	267	26	323	123
ENSG00000096264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000096433	70	202	1605	260	207	280	1046	492	124	265	167	288	1191	760	565	318	122	393	361	927	260	304	115	291	768	83	344	665
ENSG00000099250	598	760	2715	2120	1144	6455	2899	1703	880	1023	1575	1986	3055	1849	1178	1162	974	1226	1451	1141	1282	925	743	2249	2332	458	1125	1317
ENSG00000099721	0	8	9	0	0	8	2	0	0	0	0	0	0	0	5	0	2	2	2	1	0	0	1	3	0	0	0	3
ENSG00000099783	1278	1371	4292	2817	2770	2163	4938	3149	2172	1827	2919	2647	3982	3447	4074	3697	2318	2313	2572	4266	2886	4177	3105	2950	3993	1640	1845	3975
ENSG00000099812	163	150	646	540	698	106	354	47	236	22	745	274	486	23	418	1081	165	829	369	1443	1185	1429	133	330	324	36	97	511
ENSG00000099834	0	17	1	3	0	2	21	0	0	2	0	0	9	2	0	0	1	0	0	0	0	0	2	4	9	0	2	0
ENSG00000099869	0	0	0	0	0	0	3	0	8	1	0	0	0	0	0	0	2	0	0	0	0	0	24	0	3	0	3	2
ENSG00000099954	0	187	286	234	29	132	133	316	22	140	52	148	295	700	85	31	201	94	169	239	186	141	270	207	67	108	141	210
ENSG00000099958	11	0	37	5	5	3	32	0	8	0	11	19	15	27	2	0	3	4	1	21	2	13	17	9	16	0	7	35
ENSG00000099960	38	32	161	26	56	0	159	96	55	37	95	17	102	1	153	42	24	277	38	339	54	175	144	6	141	2	2	189
ENSG00000099984	0	10	3	0	2	0	21	11	5	0	0	0	34	34	9	9	0	4	9	15	7	19	0	2	0	1	10	1
ENSG00000099985	0	9	60	34	40	39	48	22	2	2	13	33	100	35	3	41	19	0	32	20	0	2	9	48	21	0	9	29
ENSG00000100095	16	19	333	42	47	2	59	24	13	36	21	4	17	4	20	166	12	6	5	24	2	14	14	125	29	2	36	52
ENSG00000100191	111	181	35	76	4	20	88	360	70	402	30	239	218	90	55	21	17	36	507	202	21	64	116	195	97	211	5	17
ENSG00000100216	684	610	1165	1291	1560	1055	1029	1199	1279	497	1492	1108	1180	1269	2070	1537	1320	1846	1466	1439	1845	2167	1735	799	1347	1055	1213	1650
ENSG00000100281	1006	1761	1492	1952	1375	2073	1483	2263	1175	1728	1623	1453	1219	1282	1576	2200	1494	1992	2073	2155	2234	2296	2794	1568	1523	1731	1757	1752
ENSG00000100285	7772	3440	16535	3316	13517	350	43864	1329	10522	1727	7690	2498	35413	826	77132	5200	3375	41943	9998	37253	1970	19864	824	5141	39312	1759	1730	16705
ENSG00000100346	0	0	11	10	0	7	42	29	8	4	0	2	25	4	2	10	10	0	4	14	0	0	11	9	16	0	6	27
ENSG00000100425	557	539	1424	680	902	672	1579	932	675	959	876	924	1131	1032	854	1046	615	814	1087	1364	826	1087	684	803	974	732	757	989
ENSG00000100427	28	138	19	10	2	6	95	34	44	97	3	8	75	23	10	21	33	11	14	24	0	4	18	28	54	0	5	8
ENSG00000100448	0	10	282	209	167	49	166	49	13	2	54	55	267	18	394	129	54	6	18	77	34	59	92	84	242	19	21	96
ENSG00000100596	678	532	2419	1272	1113	870	2074	1546	693	685	986	1003	1613	2041	1432	913	1022	1160	1384	1893	1543	1187	1320	820	1239	952	624	1807
ENSG00000100604	63	14	305	1591	560	161	155	4	144	5	105	13	148	31	386	464	28	246	157	193	24	296	8	127	210	10128	72	129
ENSG00000100626	179	228	402	214	248	313	610	155	184	275	160	377	512	237	245	264	128	351	259	375	127	393	245	320	329	149	120	194
ENSG00000100650	2174	5048	6330	8550	5987	10166	11588	9649	5131	8382	6664	9773	15123	15679	12038	6110	8625	7674	10552	8728	7435	9656	9175	10465	12273	4807	9693	12140
ENSG00000100678	0	48	48	34	7	8	93	53	6	14	19	8	58	10	16	10	9	4	7	28	13	42	0	15	38	0	3	38
ENSG00000100764	350	473	693	584	471	501	851	720	443	552	555	579	1060	761	1102	536	630	427	631	623	906	1051	880	546	672	483	336	729
ENSG00000100842	435	480	1199	261	728	222	1941	326	785	443	825	428	1309	137	1670	754	400	1079	306	1450	248	892	80	545	1221	80	226	987
ENSG00000100867	86	24	87	53	28	35	84	12	92	45	28	46	7	56	23	20	26	0	11	57	681	18	10	56	27	0	14	14
ENSG00000100982	489	451	1006	544	624	427	1377	619	634	425	730	554	1065	500	984	877	410	685	514	977	463	661	458	563	867	246	456	845
ENSG00000100985	13	19	100	127	65	66	360	143	41	22	297	64	687	55	2	209	101	2	0	1	70	16	70	20	80	26	1139	136
ENSG00000101098	6	24	156	43	20	13	135	39	65	22	31	63	249	16	49	34	19	36	12	81	2	0	5	46	67	4	37	98
ENSG00000101216	232	369	603	290	238	273	457	312	287	296	303	385	551	424	440	431	304	455	342	608	305	505	404	377	338	182	267	511
ENSG00000101292	0	0	1	6	2	0	9	0	0	0	0	3	2	4	0	0	3	0	0	0	0	0	0	0	0	0	2	8
ENSG00000101323	0	8	4	53	0	0	0	37	0	0	0	0	0	2	0	0	3	0	2	5	11	6	15	0	0	15	0	3
ENSG00000101350	1233	1691	3383	3038	1991	3074	2695	3420	1942	1134	2279	1926	2333	3129	2866	2919	2503	3316	2523	3742	2692	2907	2798	3103	2435	1474	1754	3396
ENSG00000101400	462	690	517	547	557	402	750	496	816	432	578	507	420	554	831	699	399	775	397	946	940	863	551	544	467	346	329	586
ENSG00000101435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000101441	22	7	0	6	4	0	19	19	5	2	4	2	123	0	12	1	1	2	3	16	1	51	0	0	8	8	1	2
ENSG00000101447	27	59	117	222	143	190	1509	177	72	467	540	182	272	243	116	289	276	26	40	164	252	13	0	59	405	23	147	93
