gene_id	ERR5671402	ERR5671403	ERR5671404	ERR5671405	ERR5671406	ERR5671407	ERR5671408	ERR5671409	ERR5671410
ENSMUSG00000004085	6269	7338	7064	8140	7181	8058	7567	7191	8680
ENSMUSG00000004187	9	7	16	23	16	29	15	8	0
ENSMUSG00000004231	0	0	0	0	0	0	0	0	0
ENSMUSG00000004296	0	0	0	0	0	0	0	0	0
ENSMUSG00000004341	0	0	0	0	0	0	0	0	0
ENSMUSG00000004344	0	0	0	2	0	0	0	0	0
ENSMUSG00000004347	4	0	22	3	15	17	8	10	26
ENSMUSG00000004360	5	14	8	1	4	0	0	0	27
ENSMUSG00000004366	0	0	0	0	0	0	0	0	0
ENSMUSG00000004415	2	24	1	2	5	13	20	29	28
ENSMUSG00000004542	0	0	0	0	0	0	0	0	0
ENSMUSG00000004552	0	0	0	0	0	0	0	0	0
ENSMUSG00000004630	0	0	0	0	0	2	0	0	0
ENSMUSG00000004654	0	0	0	0	0	0	2	0	0
ENSMUSG00000004707	3	2	0	3	4	0	0	0	0
ENSMUSG00000004709	4	66	0	1	2	34	0	4	0
ENSMUSG00000004730	41	113	3	29	48	19	4	28	10
ENSMUSG00000004814	0	0	0	0	2	0	0	0	0
ENSMUSG00000004821	0	0	0	0	0	0	0	0	0
ENSMUSG00000004837	21	1	13	5	1	2	4	6	51
ENSMUSG00000004872	0	22	100	21	11	24	177	170	240
ENSMUSG00000004892	9	27	30	14	41	12	6	20	2
ENSMUSG00000004894	0	0	0	0	0	0	0	0	0
ENSMUSG00000004902	0	0	0	1	0	0	0	0	0
ENSMUSG00000004939	0	11	5	0	0	0	30	23	5
ENSMUSG00000004988	0	0	0	0	0	0	0	0	0
ENSMUSG00000005057	388	601	364	424	413	411	375	453	386
ENSMUSG00000005131	1	8	9	19	14	32	2	5	45
ENSMUSG00000005202	0	0	0	0	0	0	0	0	0
ENSMUSG00000005232	0	0	0	0	0	0	0	0	0
ENSMUSG00000005268	2	0	31	6	2	19	5	10	32
ENSMUSG00000005320	13	5	0	6	2	0	29	29	30
ENSMUSG00000005339	0	0	0	0	0	0	0	0	0
ENSMUSG00000005360	1221	2122	233	1347	1536	2657	1379	1073	43
ENSMUSG00000005503	0	0	0	0	0	0	0	0	0
ENSMUSG00000005540	0	0	0	1	0	0	0	0	0
ENSMUSG00000005547	0	0	0	0	0	0	0	0	0
ENSMUSG00000005621	1585	1856	1457	1742	1686	1307	1694	1663	1736
ENSMUSG00000005681	10	6	2	1	23	14	28	31	14
ENSMUSG00000005696	0	0	0	0	0	0	0	0	0
ENSMUSG00000005716	0	0	0	7	0	0	4	4	12
ENSMUSG00000005763	0	0	0	0	0	0	0	0	0
ENSMUSG00000005800	14	48	0	21	20	10	2	6	8
ENSMUSG00000005824	0	0	0	0	0	0	0	0	0
ENSMUSG00000005836	79	104	61	95	48	58	147	167	60
ENSMUSG00000005883	0	0	0	0	0	0	0	0	0
ENSMUSG00000005891	0	0	0	0	0	0	0	0	0
ENSMUSG00000005892	0	0	0	6	0	0	0	0	0
ENSMUSG00000005917	2	0	7	0	4	6	0	2	0
ENSMUSG00000005980	0	0	0	0	0	0	0	0	0
ENSMUSG00000005982	1351	1414	1218	1327	1435	1092	1141	1117	1401
ENSMUSG00000005994	0	0	0	0	0	0	0	0	0
ENSMUSG00000006007	0	4	2	14	3	2	0	0	4
ENSMUSG00000006154	0	12	44	37	95	23	15	12	27
ENSMUSG00000006191	778	801	716	837	742	716	924	719	1098
ENSMUSG00000006200	0	0	0	0	0	0	0	0	0
ENSMUSG00000006204	1	0	18	4	0	0	10	2	9
ENSMUSG00000006215	1682	1272	1035	1525	1409	964	1595	1464	2003
ENSMUSG00000006269	0	0	12	2	0	4	8	5	0
ENSMUSG00000006270	0	0	0	0	0	0	0	0	0
ENSMUSG00000006311	0	0	0	0	0	0	0	0	0
ENSMUSG00000006315	2798	3114	2447	2683	2673	2059	2727	2379	2422
ENSMUSG00000006344	163	281	152	133	366	394	120	318	14
ENSMUSG00000006389	0	0	0	0	0	0	0	0	0
ENSMUSG00000006392	1742	1843	1653	1839	1777	1230	2025	1781	2200
ENSMUSG00000006411	9	45	2	26	0	10	18	4	22
ENSMUSG00000006442	7690	6422	5027	6402	6617	3845	7435	6666	6968
ENSMUSG00000006469	0	0	0	0	0	0	0	0	0
ENSMUSG00000006488	0	5	0	6	1	0	2	8	11
ENSMUSG00000006490	0	2	21	0	2	0	10	9	5
ENSMUSG00000006517	1688	1681	1375	1773	1725	1160	1530	1337	728
ENSMUSG00000006542	13	16	9	0	7	2	33	20	29
ENSMUSG00000006546	1	1	0	0	0	0	0	0	0
ENSMUSG00000006567	4	3	14	1	14	16	4	17	0
ENSMUSG00000006570	0	0	0	0	0	0	0	0	0
ENSMUSG00000006574	0	0	0	0	0	2	0	0	0
ENSMUSG00000006717	652	732	975	793	653	672	600	680	661
ENSMUSG00000006724	8	14	6	0	10	3	20	4	29
ENSMUSG00000006930	8	4	0	6	2	5	0	1	27
ENSMUSG00000006948	0	0	0	0	0	0	0	0	0
ENSMUSG00000007030	8	0	17	10	0	13	8	8	10
ENSMUSG00000007097	7	51	35	13	5	42	112	121	228
ENSMUSG00000007122	17	91	14	6	16	23	151	229	82
ENSMUSG00000007209	0	0	0	0	0	0	0	0	0
ENSMUSG00000007279	20	16	3	23	33	22	2	27	2
ENSMUSG00000007440	0	4	0	16	0	6	7	0	2
ENSMUSG00000007457	0	0	0	0	0	0	0	0	0
ENSMUSG00000007613	1054	917	1856	1707	778	2552	1212	1728	2546
ENSMUSG00000007777	446	491	547	685	529	576	353	391	521
ENSMUSG00000007877	2	19	6	0	2	14	32	56	14
ENSMUSG00000007907	0	0	0	0	0	0	0	0	0
ENSMUSG00000007944	0	0	0	0	0	0	0	0	0
ENSMUSG00000007946	1	5	0	0	5	2	15	2	8
ENSMUSG00000008153	2	7	7	4	0	11	0	4	0
ENSMUSG00000008461	0	0	1	0	0	0	0	0	0
ENSMUSG00000008590	0	0	0	0	0	0	0	0	0
ENSMUSG00000008730	4776	4644	4700	5027	4329	4651	4332	4096	6398
ENSMUSG00000008789	0	0	0	0	0	0	0	0	0
ENSMUSG00000008813	0	0	0	0	0	0	0	0	0
ENSMUSG00000008843	0	0	0	0	0	0	0	0	0
ENSMUSG00000008845	0	0	0	0	0	0	0	0	0
ENSMUSG00000008874	0	0	0	0	0	0	0	0	0
ENSMUSG00000008999	0	0	0	0	0	0	0	0	0
ENSMUSG00000009047	0	0	0	0	0	0	0	0	0
ENSMUSG00000009075	0	0	0	0	0	0	0	2	0
ENSMUSG00000009090	4027	4367	3242	4186	4582	3154	3914	3486	2807
ENSMUSG00000009097	0	0	0	0	1	0	0	0	1
ENSMUSG00000009114	0	0	0	0	0	0	0	0	0
ENSMUSG00000009115	0	2	0	0	0	0	0	0	0
ENSMUSG00000009214	11	286	36	4	20	52	647	597	291
ENSMUSG00000009216	0	0	0	0	0	0	0	0	0
ENSMUSG00000009246	0	0	0	0	0	0	0	0	0
ENSMUSG00000009350	11	8	0	15	12	2	0	9	5
ENSMUSG00000009471	12	227	32	2	12	20	386	349	391
ENSMUSG00000009487	0	18	2	0	0	4	32	39	23
ENSMUSG00000009551	0	0	0	0	0	0	0	0	0
ENSMUSG00000009580	0	0	0	0	0	0	0	0	0
ENSMUSG00000009588	0	0	0	0	0	0	0	0	0
ENSMUSG00000009596	0	0	0	0	0	0	2	0	0
ENSMUSG00000009630	3256	2796	2612	3194	3203	2082	2888	2715	3971
ENSMUSG00000009646	0	0	0	0	0	0	0	0	0
ENSMUSG00000009654	7	0	4	12	1	3	0	0	11
ENSMUSG00000009687	3446	3373	3768	3531	2553	2165	3644	2558	5566
ENSMUSG00000009900	0	0	0	0	0	0	0	0	0
ENSMUSG00000009905	2155	1945	3015	2404	2032	2027	1963	1604	2390
ENSMUSG00000009995	741	717	678	906	804	783	749	621	622
ENSMUSG00000010086	0	0	0	0	0	0	0	0	0
ENSMUSG00000010136	0	0	0	0	0	0	0	0	0
ENSMUSG00000010205	0	0	1	0	0	0	0	0	1
ENSMUSG00000010435	0	0	0	0	0	0	0	0	0
ENSMUSG00000010492	0	2	0	10	0	2	14	5	4
ENSMUSG00000010517	4824	4994	4349	4636	5241	3664	5785	4751	5477
ENSMUSG00000010760	2	0	5	0	0	0	0	3	6
ENSMUSG00000010796	0	0	0	0	0	0	0	0	0
ENSMUSG00000010803	1	0	8	10	6	5	17	0	11
ENSMUSG00000010841	0	0	0	0	0	0	0	0	0
ENSMUSG00000011171	3	0	0	2	0	6	22	1	20
ENSMUSG00000011349	0	0	0	0	0	0	0	0	0
ENSMUSG00000011350	0	0	0	0	0	0	0	0	0
ENSMUSG00000011486	0	0	0	0	0	0	0	0	0
ENSMUSG00000011632	0	0	0	0	0	0	0	0	0
ENSMUSG00000012042	0	0	0	0	0	0	0	0	0
ENSMUSG00000012211	0	2	0	4	2	0	15	3	0
ENSMUSG00000012396	3	14	1	18	16	8	2	8	0
ENSMUSG00000012428	32	45	88	14	14	88	6	25	6
ENSMUSG00000012520	0	0	0	0	0	0	0	0	0
ENSMUSG00000012777	0	0	0	0	0	0	0	0	0
ENSMUSG00000013083	0	0	0	0	0	0	0	0	0
ENSMUSG00000013158	0	0	0	2	2	0	0	0	0
ENSMUSG00000013338	0	0	0	0	0	0	0	0	0
ENSMUSG00000013353	0	0	0	0	0	0	0	0	0
ENSMUSG00000013418	0	0	0	0	0	0	0	0	0
ENSMUSG00000013483	9	15	10	9	1	16	0	3	4
ENSMUSG00000013539	488	530	471	585	580	571	614	570	427
ENSMUSG00000013562	0	0	0	0	0	0	0	0	0
ENSMUSG00000013643	0	0	0	0	0	0	0	0	0
ENSMUSG00000013668	0	0	0	0	0	0	0	0	0
ENSMUSG00000013736	997	934	1182	1229	1076	1747	946	1037	2289
ENSMUSG00000013766	0	0	0	0	0	0	0	0	0
ENSMUSG00000013936	0	4	2	16	6	0	0	2	8
ENSMUSG00000014039	731	724	678	845	786	730	740	682	836
ENSMUSG00000014074	1372	1413	1379	1292	1327	1209	1559	1363	1740
ENSMUSG00000014104	0	0	0	0	0	0	0	0	0
ENSMUSG00000014226	3143	2257	3157	3691	2405	2978	1960	2133	6891
ENSMUSG00000014351	0	1	0	0	0	0	0	0	0
ENSMUSG00000014504	874	946	890	1188	941	1236	874	826	1076
ENSMUSG00000014529	0	0	0	0	0	0	0	0	0
ENSMUSG00000014542	0	0	0	0	0	0	0	0	0
ENSMUSG00000014543	0	0	0	0	0	0	0	0	0
ENSMUSG00000014686	0	0	0	0	0	1	0	0	0
ENSMUSG00000014769	9948	9560	8446	9560	9473	6639	10262	8495	8592
ENSMUSG00000014773	33	50	10	4	4	10	48	46	130
ENSMUSG00000014852	0	0	0	0	0	0	0	0	0
ENSMUSG00000015001	0	0	0	1	0	0	0	0	0
ENSMUSG00000015085	26	42	11	25	8	23	16	11	4
ENSMUSG00000015090	0	0	0	0	0	0	0	0	0
ENSMUSG00000015095	1621	1531	1554	1605	1562	1191	1580	1470	1412
ENSMUSG00000015134	196	1456	94	338	1325	1782	312	503	246
ENSMUSG00000015224	50	40	91	66	76	94	62	73	58
ENSMUSG00000015242	0	0	0	0	0	0	0	0	0
ENSMUSG00000015314	0	0	0	0	0	0	0	0	0
ENSMUSG00000015340	25	91	2	13	36	12	0	27	11
ENSMUSG00000015355	0	0	0	4	2	4	0	0	0
ENSMUSG00000015377	168	103	119	118	102	87	96	97	115
ENSMUSG00000015401	0	0	0	0	0	4	0	0	0
ENSMUSG00000015437	0	2	0	4	5	10	0	4	0
ENSMUSG00000015441	0	0	0	0	0	0	0	0	0
ENSMUSG00000015443	0	0	0	0	0	0	0	0	0
ENSMUSG00000015484	0	0	0	0	0	2	0	0	0
ENSMUSG00000015519	0	0	0	0	0	0	0	0	0
ENSMUSG00000015627	0	0	0	0	0	0	0	0	0
ENSMUSG00000015665	0	0	0	0	0	0	0	0	0
ENSMUSG00000015668	2607	2600	2399	2574	2692	1923	3349	2609	2451
ENSMUSG00000015714	6986	6078	6222	6341	5564	4425	6270	5751	8082
ENSMUSG00000015745	1198	1569	1090	1605	1900	870	1814	1734	1096
ENSMUSG00000015787	0	0	0	0	0	0	0	0	0
ENSMUSG00000015843	4	25	9	6	0	9	46	69	23
ENSMUSG00000015852	0	0	0	0	0	2	0	0	0
ENSMUSG00000015854	0	0	0	0	0	0	2	0	0
ENSMUSG00000015947	0	0	0	0	2	0	0	0	0
ENSMUSG00000015961	3540	3389	3872	3645	3508	3675	4256	3758	5509
ENSMUSG00000015962	0	0	0	0	0	0	0	0	0
ENSMUSG00000015968	6	0	2	9	0	11	12	11	0
ENSMUSG00000016087	410	369	440	479	395	386	309	301	547
ENSMUSG00000016255	0	0	0	0	0	0	0	0	0
ENSMUSG00000016283	0	2	0	0	0	0	0	0	0
ENSMUSG00000016346	0	0	0	0	0	0	2	0	0
ENSMUSG00000016386	8	0	12	8	1	11	5	16	30
ENSMUSG00000016458	9	87	2	2	11	32	9	5	0
ENSMUSG00000016498	0	0	0	0	0	0	0	0	0
ENSMUSG00000016529	0	0	0	0	0	0	0	0	0
ENSMUSG00000016626	0	0	0	0	0	0	0	0	0
ENSMUSG00000016942	14	14	2	4	0	6	7	4	0
ENSMUSG00000016998	0	0	0	0	0	0	0	0	0
ENSMUSG00000017000	0	0	0	0	0	0	0	0	0
ENSMUSG00000017003	0	0	0	0	0	0	0	0	0
ENSMUSG00000017004	0	0	0	0	0	0	0	0	0
ENSMUSG00000017007	0	0	0	0	0	0	0	0	0
ENSMUSG00000017049	0	0	0	0	0	0	0	0	0
ENSMUSG00000017064	0	0	0	0	0	0	0	0	0
ENSMUSG00000017165	0	0	0	0	0	0	0	0	0
ENSMUSG00000017211	0	0	0	0	0	0	0	0	0
ENSMUSG00000017300	10	157	35	0	14	25	267	464	129
ENSMUSG00000017307	439	453	404	455	452	344	391	394	374
ENSMUSG00000017309	0	0	0	0	0	0	0	0	0
ENSMUSG00000017310	0	0	0	0	0	0	0	0	0
ENSMUSG00000017311	0	0	0	0	0	0	0	0	0
ENSMUSG00000017316	0	0	0	0	0	0	0	0	0
ENSMUSG00000017453	0	0	0	0	0	0	0	1	0
ENSMUSG00000017588	0	0	0	0	0	0	0	0	0
ENSMUSG00000017607	59	160	88	55	81	88	84	69	133
ENSMUSG00000017667	1182	1438	1019	1362	1363	1071	1376	1221	1225
ENSMUSG00000017688	0	0	0	0	0	0	0	0	0
ENSMUSG00000017692	43	40	51	52	68	55	63	64	79
ENSMUSG00000017697	474	742	333	652	461	424	400	479	261
ENSMUSG00000017720	0	0	0	0	0	0	0	0	0
ENSMUSG00000017723	0	0	0	0	0	0	0	0	0
ENSMUSG00000017733	0	0	0	0	0	0	0	0	0
ENSMUSG00000017737	1530	1211	193	849	628	167	2506	1902	7521
ENSMUSG00000017740	12	24	0	10	10	13	4	14	2
ENSMUSG00000017767	0	0	0	1	2	0	0	1	2
ENSMUSG00000017832	0	2	0	0	0	0	0	0	0
ENSMUSG00000017868	0	0	0	0	0	0	0	0	0
ENSMUSG00000017922	0	0	0	0	0	0	0	0	0
ENSMUSG00000017950	0	0	0	0	0	0	0	0	0
ENSMUSG00000018008	3	26	0	5	8	0	0	0	4
ENSMUSG00000018166	16	98	18	4	13	30	159	131	159
ENSMUSG00000018168	0	0	0	0	0	0	0	0	0
ENSMUSG00000018169	0	0	0	0	0	0	0	2	0
ENSMUSG00000018211	0	0	0	0	0	0	0	0	0
ENSMUSG00000018238	10	25	0	7	15	20	11	8	4
ENSMUSG00000018259	0	0	0	0	0	0	0	0	0
ENSMUSG00000018322	1525	1323	1498	1730	1461	962	1770	1400	1698
ENSMUSG00000018326	7295	7141	7452	8269	7511	5985	8081	7105	7229
ENSMUSG00000018341	0	0	0	0	0	0	0	0	0
ENSMUSG00000018398	6977	7847	5886	6912	7882	5893	7709	7266	5178
ENSMUSG00000018486	0	0	0	0	0	0	0	0	0
ENSMUSG00000018554	0	0	0	0	0	0	0	0	0
ENSMUSG00000018589	0	0	0	0	0	0	0	0	0
ENSMUSG00000018595	0	0	0	0	0	0	0	0	0
ENSMUSG00000018620	0	0	0	0	0	0	0	0	0
ENSMUSG00000018623	0	0	0	0	0	0	0	0	0
ENSMUSG00000018634	0	0	0	0	0	0	0	0	0
ENSMUSG00000018656	0	0	0	0	0	0	0	0	0
ENSMUSG00000018698	0	0	0	0	0	0	0	0	0
ENSMUSG00000018707	36184	35948	34121	39193	33610	28651	29559	31262	34177
ENSMUSG00000018776	0	0	0	0	0	0	0	0	0
ENSMUSG00000018822	0	0	0	0	0	0	0	0	0
ENSMUSG00000018844	0	0	0	0	0	0	0	0	0
ENSMUSG00000018845	0	32	7	2	0	2	147	116	80
ENSMUSG00000018862	0	0	0	0	0	0	0	0	0
ENSMUSG00000018868	0	0	0	0	0	0	0	0	0
ENSMUSG00000018893	16	157	54	6	21	15	418	456	206
ENSMUSG00000018907	0	0	0	0	0	0	0	0	0
ENSMUSG00000018914	0	0	0	0	0	0	0	0	0
ENSMUSG00000018919	0	0	0	0	0	0	0	0	0
ENSMUSG00000018924	0	0	0	0	0	0	0	0	0
ENSMUSG00000018925	0	0	0	0	0	0	1	0	0
ENSMUSG00000018973	0	0	0	0	0	0	0	0	0
ENSMUSG00000019039	915	634	781	889	664	618	926	677	840
ENSMUSG00000019102	59	21	30	20	6	10	43	10	990
ENSMUSG00000019143	877	919	723	903	920	908	960	959	937
ENSMUSG00000019146	0	0	0	0	0	0	0	0	0
ENSMUSG00000019230	28	4	40	39	41	34	6	2	31
ENSMUSG00000019232	0	0	0	0	0	0	0	0	0
ENSMUSG00000019301	10	15	11	7	2	10	0	2	0
ENSMUSG00000019312	0	0	0	2	0	0	0	0	0
ENSMUSG00000019359	6	26	1	6	16	17	6	12	0
ENSMUSG00000019368	0	0	0	0	0	0	0	0	0
ENSMUSG00000019429	0	0	0	0	0	0	0	0	0
ENSMUSG00000019489	0	0	0	0	0	2	0	0	0
ENSMUSG00000019539	11933	20695	6662	14150	17647	14245	14587	18657	6018
ENSMUSG00000019762	0	0	0	0	0	0	0	0	0
ENSMUSG00000019763	598	523	467	536	462	635	480	566	569
ENSMUSG00000019772	0	0	0	0	0	0	0	0	0
ENSMUSG00000019779	907	1013	1938	2062	1183	2562	1264	1500	2323
ENSMUSG00000019785	0	0	0	2	0	0	0	0	0
ENSMUSG00000019787	0	13	0	0	0	4	0	7	14
ENSMUSG00000019803	2	0	0	0	0	0	0	0	0
ENSMUSG00000019814	1702	1509	1409	1427	1399	1206	1634	1622	2127
ENSMUSG00000019815	0	0	0	0	0	0	2	0	0
ENSMUSG00000019823	1891	2225	1248	1961	2130	1910	1900	2104	1209
ENSMUSG00000019834	0	0	0	0	0	0	2	0	0
ENSMUSG00000019836	0	0	0	0	0	0	0	0	0
ENSMUSG00000019848	7	61	19	0	2	3	112	100	98
ENSMUSG00000019888	0	0	0	0	0	0	1	0	0
ENSMUSG00000019900	0	0	0	0	0	0	0	0	0
ENSMUSG00000019905	0	0	0	0	0	0	0	0	0
ENSMUSG00000019909	0	0	0	0	0	0	0	0	0
ENSMUSG00000019932	0	0	0	0	0	0	0	0	0
ENSMUSG00000019936	0	0	0	0	0	0	0	0	0
ENSMUSG00000019945	0	0	0	0	0	1	0	0	0
ENSMUSG00000020010	0	0	0	0	0	0	0	0	0
ENSMUSG00000020017	16	29	0	11	9	18	8	17	6
ENSMUSG00000020033	0	0	0	0	0	0	0	0	0
ENSMUSG00000020037	0	2	0	0	0	0	0	0	0
ENSMUSG00000020051	0	0	0	0	0	0	0	0	0
ENSMUSG00000020059	0	0	0	4	0	12	0	3	2
ENSMUSG00000020061	5	97	31	2	5	31	189	249	111
ENSMUSG00000020067	6	50	4	0	4	8	59	90	64
ENSMUSG00000020075	8326	7160	7294	7532	7252	6208	9059	7547	12942
ENSMUSG00000020077	0	10	0	0	6	8	0	4	2
ENSMUSG00000020080	2	1	8	2	0	2	0	0	7
ENSMUSG00000020116	2154	2126	2330	2463	2005	1874	2315	2124	3600
ENSMUSG00000020123	1401	2258	1831	1497	2373	2341	2603	2941	1284
ENSMUSG00000020125	0	0	1	0	0	0	0	0	0
ENSMUSG00000020137	496	649	588	651	576	664	610	544	894
ENSMUSG00000020164	0	0	0	0	0	0	0	0	0
ENSMUSG00000020168	0	0	0	0	0	0	0	0	0
ENSMUSG00000020169	3	0	4	4	0	0	0	11	6
ENSMUSG00000020177	0	0	0	0	0	0	0	0	0
ENSMUSG00000020184	5140	5175	6389	7052	5032	6981	4309	5094	10184
ENSMUSG00000020213	0	0	0	0	0	0	0	0	0
ENSMUSG00000020214	0	0	0	0	0	0	0	0	0
ENSMUSG00000020216	4	54	4	6	4	8	60	106	79
ENSMUSG00000020229	0	0	0	0	0	0	0	0	0
ENSMUSG00000020261	1405	1855	1466	1393	1566	1426	1240	1386	1123
