gene_id	control1	control2	control3	control4	treated1	treated2	treated3	treated4
SYN00427	5	4	2	5	0	0	1	3
SYN00435	40	22	42	39	14	10	15	17
SYN00437	19	17	34	17	11	4	6	13
SYN00438	92	69	82	110	26	31	41	36
SYN00448	2	4	2	5	1	2	4	1
SYN00449	29	41	41	38	17	12	14	9
SYN00456	148	92	69	105	41	21	58	53
SYN00463	40	34	26	32	10	9	14	10
SYN00466	12	11	11	9	5	6	4	6
SYN00468	184	117	156	134	42	76	74	57
SYN00470	14	9	13	14	0	5	4	2
SYN00475	12	6	12	10	4	5	4	4
SYN00484	24	13	14	17	1	9	8	5
SYN00487	212	241	232	207	84	91	79	73
SYN00488	45	37	60	62	16	22	30	16
SYN00491	5	6	2	1	0	1	1	0
SYN00492	26	35	44	34	8	13	22	21
SYN00498	31	26	17	25	2	10	8	10
SYN00508	7	5	8	3	2	0	4	1
SYN00512	4	1	4	1	0	0	1	2
SYN00516	24	37	30	49	20	9	16	12
SYN00518	53	50	52	63	18	19	21	5
SYN00522	8	7	0	11	2	2	5	0
SYN00529	44	41	43	45	15	22	10	22
SYN00532	19	19	26	25	9	0	12	5
SYN00534	5	2	6	5	0	2	1	6
SYN00536	14	17	16	9	3	3	4	1
SYN00539	8	10	17	11	6	3	9	3
SYN00549	17	11	7	7	1	3	8	2
SYN00551	1	4	0	2	1	0	2	0
SYN00552	7	12	14	0	11	3	4	10
SYN00567	36	21	40	34	24	33	60	34
SYN00568	39	22	20	15	35	21	24	28
SYN00571	21	25	20	35	15	22	14	26
SYN00573	70	98	92	77	74	80	66	84
SYN00577	17	17	32	28	29	38	21	21
SYN00579	16	32	33	28	23	20	25	11
SYN00581	47	40	68	58	50	39	61	35
SYN00584	23	16	18	18	22	14	34	28
SYN00587	15	28	31	34	27	16	13	14
SYN00588	12	14	18	14	15	13	12	12
SYN00590	342	303	435	460	359	364	430	375
SYN00592	17	24	15	30	30	25	39	30
SYN00595	213	207	228	204	231	240	307	246
SYN00599	20	21	35	18	19	15	27	18
SYN00615	63	101	81	87	73	83	74	73
SYN00616	58	56	78	84	44	73	33	37
SYN00620	25	7	28	30	28	17	33	25
SYN00624	23	22	23	27	30	30	32	12
SYN00625	26	29	20	23	25	20	16	27
SYN00628	151	192	174	137	186	195	171	200
SYN00646	247	226	195	220	273	228	211	212
SYN00649	97	101	89	101	86	110	96	108
SYN00652	78	83	95	79	94	108	97	128
SYN00655	19	12	32	21	12	19	36	26
SYN00658	224	234	224	296	254	216	306	328
SYN00661	36	28	19	23	22	13	26	27
SYN00671	47	38	37	46	30	31	44	31
SYN00680	29	22	34	17	14	23	29	19
SYN00697	31	20	20	22	20	22	24	20
SYN00702	170	121	154	143	116	181	155	186
SYN00704	1044	1127	1096	1431	1133	1026	1479	1046
SYN00706	151	178	223	139	143	156	183	153
SYN00707	26	35	42	29	20	22	16	19
SYN00710	15	21	20	26	24	23	20	40
SYN00714	257	247	319	253	351	248	312	280
SYN00722	41	54	47	53	46	56	53	56
SYN00724	20	26	23	29	17	36	33	18
SYN00727	54	38	28	40	38	58	49	59
SYN00733	7	6	14	4	2	3	10	3
SYN00737	49	67	57	69	66	72	65	53
SYN00740	12	20	10	37	37	21	29	24
SYN00746	283	195	288	250	214	218	226	241
SYN00748	9	7	12	7	8	6	6	5
SYN00753	25	20	31	21	34	20	15	17
SYN00757	24	21	40	23	24	27	13	32
SYN00761	11	28	13	29	21	18	32	24
SYN00767	59	50	65	79	42	56	54	67
SYN00768	107	65	110	76	96	96	124	54
SYN00770	45	28	31	65	34	33	52	31
SYN00774	27	18	33	35	30	8	20	24
SYN00782	241	162	235	185	191	191	220	285
SYN00787	152	196	199	174	98	116	202	215
SYN00791	17	13	21	16	25	11	36	31
SYN00805	26	13	16	26	31	20	27	24
SYN00806	24	20	23	24	17	31	22	24
SYN00814	51	80	62	87	47	45	134	59
SYN00815	0	2	2	9	6	4	8	9
SYN00816	395	474	486	370	419	444	391	501
SYN00818	20	19	19	28	25	29	22	10
SYN00820	21	31	34	16	21	26	22	25
SYN00822	128	78	116	139	104	103	92	122
SYN00824	26	27	30	32	16	27	34	17
SYN00828	785	1021	957	599	713	877	836	758
SYN00833	1	1	5	3	3	1	3	2
SYN00835	14	14	25	34	29	21	33	27
SYN00838	30	22	24	19	19	17	27	22
SYN00842	16	16	36	11	23	27	30	23
SYN00844	102	82	62	63	40	66	85	88
SYN00845	31	25	22	23	33	24	29	25
SYN00847	15	5	6	10	14	10	8	11
SYN00849	77	67	55	81	89	73	73	61
SYN00856	402	385	371	289	422	309	354	379
SYN00862	168	148	171	202	134	170	198	173
SYN00875	1202	970	1563	1302	917	1288	1355	1189
SYN00876	24	20	37	32	19	18	15	20
SYN00878	59	57	50	61	50	43	64	53
SYN00879	27	35	25	22	39	25	31	29
SYN00884	6	5	6	5	8	4	4	2
SYN00887	15	22	19	20	16	16	18	14
SYN00891	755	770	725	1083	878	641	769	923
SYN00896	63	56	55	60	65	76	70	63
SYN00901	19	13	28	22	28	26	28	29
SYN00913	22	12	15	23	22	27	14	35
SYN00914	158	199	240	187	224	209	240	251
SYN00920	129	116	150	152	163	143	108	164
SYN00925	718	756	601	746	691	476	719	820
SYN00926	65	66	97	82	98	94	60	56
SYN00935	33	24	31	23	20	12	35	35
SYN00937	129	158	112	175	182	128	129	151
SYN00938	20	17	31	29	20	23	18	44
SYN00941	11	9	9	6	9	17	12	25
SYN00943	42	62	65	31	46	44	40	37
SYN00946	28	17	22	31	25	28	30	32
SYN00958	9	19	17	28	16	6	11	26
SYN00959	10	7	5	13	5	8	10	9
SYN00961	1	10	6	4	6	5	2	6
SYN00962	20	33	16	20	14	21	34	24
SYN00966	111	138	154	157	101	131	131	163
SYN00967	87	80	110	106	69	102	76	101
SYN00972	7	5	14	11	5	15	15	7
SYN00973	25	24	33	34	17	31	20	24
SYN00974	136	170	122	154	143	137	116	155
SYN00979	20	9	26	27	23	23	24	30
SYN00981	15	19	25	16	23	21	18	23
SYN00984	15	16	20	23	24	24	22	19
SYN00986	156	133	168	133	93	125	167	166
SYN00988	824	744	777	909	613	742	866	831
SYN00989	14	19	17	18	19	12	16	19
SYN00996	22	23	34	26	17	17	25	23
SYN01006	25	26	28	27	10	18	23	30
SYN01010	27	19	24	16	20	27	16	21
SYN01016	16	32	21	19	23	24	32	14
SYN01026	29	22	10	32	21	28	25	35
SYN01029	13	21	32	29	29	24	22	23
SYN01044	23	27	28	30	22	22	27	28
SYN01046	13	18	28	14	35	22	23	36
SYN01051	94	78	104	98	83	77	147	79
SYN01052	1	1	7	0	6	3	5	4
SYN01057	532	505	549	557	668	471	707	549
SYN01058	88	104	108	109	124	88	88	102
SYN01061	15	15	23	17	24	23	37	17
SYN01076	16	16	23	24	18	33	48	28
SYN01079	21	27	17	29	27	17	27	25
SYN01084	15	17	40	16	19	28	28	30
SYN01095	86	82	86	102	79	106	90	78
SYN01099	36	31	35	44	27	43	36	41
SYN01103	22	15	21	30	22	20	28	17
SYN01104	56	52	65	53	67	56	69	49
SYN01105	48	45	44	62	45	57	62	65
SYN01106	169	176	172	175	165	201	172	234
SYN01108	21	21	18	14	25	21	18	18
SYN01116	12	11	9	14	16	10	14	11
SYN01123	35	22	47	31	35	27	33	45
SYN01126	57	49	52	49	35	36	50	42
SYN01130	66	77	67	88	48	54	70	91
SYN01131	140	100	116	101	160	78	119	172
SYN01140	218	226	284	260	233	233	248	338
SYN01141	36	44	51	63	50	51	41	38
SYN01144	4	3	0	1	2	2	5	2
SYN01152	34	35	45	32	48	43	41	32
SYN01154	206	192	200	232	193	185	220	145
SYN01160	21	37	24	21	19	15	15	27
SYN01176	16	7	37	23	33	25	19	32
SYN01180	37	20	25	13	29	22	22	34
SYN01183	41	38	67	40	38	85	47	35
SYN01185	32	34	44	47	36	43	41	47
SYN01190	85	67	64	76	70	71	48	68
SYN01191	29	19	31	23	36	14	23	28
SYN01194	63	44	49	46	42	59	48	45
SYN01202	63	95	97	107	58	78	123	93
SYN01209	18	24	32	21	20	27	17	26
SYN01214	27	39	45	48	38	39	37	34
SYN01220	48	33	36	38	45	45	46	39
SYN01221	27	40	69	37	54	43	55	31
SYN01226	23	25	17	35	25	20	23	25
SYN01228	138	163	175	154	205	202	171	184
SYN01233	10	24	18	24	30	23	44	30
SYN01234	1	1	1	0	2	1	3	0
SYN01236	16	13	21	29	30	20	14	28
SYN01237	17	17	29	37	17	21	14	18
SYN01238	72	75	90	76	98	62	90	63
SYN01239	16	9	16	19	9	14	20	8
SYN01240	61	65	77	77	68	71	75	93
SYN01241	233	199	226	180	279	176	223	213
SYN01242	21	22	20	21	25	17	33	24
SYN01243	18	19	18	22	21	14	22	22
SYN01246	4	2	6	4	6	4	7	6
SYN01249	76	91	163	138	82	86	84	139
SYN01252	145	108	188	154	108	157	200	188
SYN01259	9	7	7	9	3	4	5	9
SYN01264	32	52	45	55	46	51	45	52
SYN01268	46	44	63	54	48	63	71	57
SYN01270	43	35	48	49	35	47	37	49
SYN01275	27	18	36	27	20	16	40	26
SYN01277	28	38	31	35	26	25	25	35
SYN01282	23	26	41	18	19	28	22	24
SYN01290	22	33	24	16	27	22	40	22
SYN01293	22	22	34	33	18	21	30	26
SYN01295	5	8	6	5	8	10	8	7
SYN01304	211	255	174	240	220	178	196	251
SYN01308	49	49	66	57	54	47	70	51
SYN01319	25	30	17	29	15	24	27	41
SYN01322	12	22	24	28	40	15	24	39
SYN01324	208	168	210	177	158	213	252	194
SYN01325	18	17	29	11	23	34	24	27
SYN01327	1500	1474	1201	1557	1273	1505	1558	2171
SYN01337	64	59	76	66	65	56	58	89
SYN01339	12	11	13	11	11	12	15	17
SYN01342	0	6	2	3	1	1	5	4
SYN01345	85	100	102	101	114	106	112	155
SYN01354	52	60	58	47	69	50	63	74
SYN01359	24	22	18	21	25	27	33	20
SYN01364	11	10	12	19	16	14	27	24
SYN01377	43	54	53	111	49	93	64	75
SYN01380	92	83	71	62	71	64	83	81
SYN01383	24	26	21	25	13	26	18	20
SYN01386	19	26	42	16	16	22	30	21
SYN01387	5	1	0	5	3	0	2	5
SYN01396	22	23	29	48	19	37	31	36
SYN01397	66	84	58	81	92	44	73	52
SYN01399	18	17	24	18	17	21	21	15
SYN01401	34	17	29	29	27	13	24	17
SYN01409	25	29	18	27	34	23	22	30
SYN01410	17	22	27	12	29	24	38	22
SYN01412	26	23	22	41	20	21	32	29
SYN01420	255	211	309	238	339	287	232	287
SYN01421	22	12	33	34	34	32	21	23
SYN01424	23	20	29	28	19	8	35	29
SYN01426	27	20	25	25	19	15	18	27
SYN01435	18	18	35	14	26	30	19	38
SYN01438	21	17	30	30	25	16	27	26
SYN01447	228	257	276	278	211	308	304	295
SYN01450	51	57	63	54	51	61	68	77
SYN01453	138	121	140	89	117	108	158	123
SYN01471	71	86	98	90	86	81	116	85
SYN01474	24	25	25	30	14	15	31	36
SYN01478	27	38	31	33	17	29	38	37
SYN01491	13	12	11	7	5	14	9	15
SYN01497	33	48	44	34	45	43	44	35
SYN01505	12	14	30	10	9	8	7	17
SYN01507	30	23	32	26	25	16	20	41
SYN01512	33	45	40	24	30	22	29	42
SYN01528	6	4	4	1	6	6	9	7
SYN01536	136	194	153	186	203	167	211	143
SYN01540	145	185	166	158	139	126	213	179
SYN01543	57	60	51	58	47	36	46	59
SYN01544	176	198	186	168	224	171	144	155
SYN01549	399	229	325	337	311	373	291	328
SYN01551	217	211	272	252	234	191	329	278
SYN01553	111	61	115	163	53	94	143	74
SYN01566	15	26	25	19	17	25	22	40
SYN01567	70	72	107	108	58	77	52	96
SYN01571	768	1023	837	874	1081	934	985	922
SYN01582	0	7	4	6	5	8	8	7
SYN01589	291	166	199	292	249	344	343	342
SYN01591	77	71	103	67	67	44	74	83
SYN01598	65	53	67	63	63	72	57	62
SYN01610	53	45	39	64	51	48	66	50
SYN01613	21	26	19	15	23	16	27	29
SYN01615	1	4	2	6	2	7	4	2
SYN01625	80	60	74	73	59	87	92	60
SYN01626	18	24	50	24	26	23	13	21
SYN01635	113	69	87	105	75	76	99	86
SYN01639	128	115	141	146	121	149	191	155
SYN01643	367	365	504	514	403	409	445	333
SYN01646	26	13	32	21	22	21	31	22
SYN01647	4	0	0	0	3	5	2	7
SYN01648	239	263	289	211	362	270	325	232
SYN01650	74	81	86	85	65	73	73	70
SYN01655	4	2	2	1	2	3	5	3
SYN01672	6	6	7	10	6	7	11	10
SYN01673	7	10	14	8	10	14	10	4
SYN01680	338	386	397	422	418	461	405	483
SYN01684	12	12	12	9	9	15	13	13
SYN01686	16	16	28	8	20	12	15	17
SYN01688	22	24	22	35	17	25	24	22
SYN01691	146	129	115	181	156	172	137	116
SYN01695	19	15	17	19	22	25	24	29
SYN01704	161	262	236	251	232	246	262	193
SYN01707	2	4	5	8	4	6	4	8
SYN01715	3	7	6	2	0	6	8	8
SYN01720	12	17	24	24	11	19	15	22
SYN01722	22	18	26	19	14	23	22	16
SYN01723	22	15	29	22	31	30	20	26
SYN01737	24	22	32	33	30	21	29	30
SYN01738	22	27	32	14	11	24	22	26
SYN01744	2	1	3	3	0	2	3	0
SYN01758	71	55	55	60	55	47	63	46
SYN01760	20	25	23	29	21	20	18	31
SYN01763	48	48	57	51	40	52	45	56
SYN01769	77	52	65	68	75	73	67	74
SYN01770	31	14	24	16	23	22	27	25
SYN01776	147	135	229	184	201	154	222	160
SYN01782	13	19	14	22	16	27	10	13
SYN01783	11	11	16	14	13	15	12	13
SYN01793	22	19	22	17	19	13	17	18
SYN01803	5	5	2	5	0	2	3	0
SYN01806	0	6	8	6	5	1	7	4
SYN01808	37	21	8	27	16	30	25	20
SYN01809	28	21	48	29	18	16	23	17
SYN01812	5	2	10	5	3	0	3	1
SYN01822	32	30	27	25	30	24	32	35
SYN01832	6	8	14	6	9	10	4	9
SYN01834	132	137	138	173	172	152	202	170
SYN01837	114	94	110	86	78	78	93	96
SYN01840	141	166	157	155	148	169	144	144
SYN01850	15	21	16	21	16	11	24	15
SYN01862	28	39	43	43	23	30	39	31
SYN01864	3	3	4	7	5	7	8	7
SYN01868	33	18	23	14	25	15	21	37
SYN01871	56	45	57	58	47	73	67	51
SYN01872	156	121	136	172	150	146	214	179
SYN01876	14	21	20	18	17	21	19	15
SYN01878	27	17	29	22	14	15	25	25
SYN01880	7	1	2	7	3	0	8	5
SYN01886	338	300	297	311	248	397	341	261
SYN01894	23	33	18	28	12	18	32	20
SYN01895	31	67	70	41	48	39	53	46
SYN01896	21	17	26	18	29	19	27	21
SYN01906	18	26	28	15	24	24	31	18
SYN01908	1	6	3	5	3	2	5	7
SYN01912	32	25	33	36	33	32	36	48
SYN01914	42	62	38	55	65	63	80	62
SYN01915	23	22	22	28	17	22	42	20
SYN01931	13	34	25	33	34	12	25	26
SYN01933	861	1175	1017	989	1102	973	1143	850
SYN01943	84	75	92	82	86	64	93	72
SYN01947	15	32	31	20	25	24	25	23
SYN01948	0	0	0	1	1	0	4	1
SYN01952	2	5	0	3	2	3	4	2
SYN01954	828	1035	1060	1003	894	689	1019	1130
SYN01955	17	27	20	30	27	16	28	20
SYN01959	0	5	4	8	0	4	6	6
SYN01961	6	9	5	12	7	7	5	2
SYN01967	2	1	3	7	3	4	6	2
SYN01969	22	14	36	31	15	21	16	24
SYN01975	97	100	106	88	80	85	124	123
SYN01977	6	3	5	5	6	12	11	12
SYN01979	15	9	14	14	15	12	11	14
SYN01983	62	69	65	61	66	66	56	53
SYN01986	46	46	58	62	38	47	49	46
SYN01992	35	45	43	35	37	42	43	35
SYN01995	28	36	51	51	46	36	24	63
