gene_id	ERR3721875	ERR3721871	ERR3721868	ERR3721876	ERR3721870	ERR3721873	ERR3721867	ERR3721874	ERR3721869	ERR3721872
ENSG00000004766	68	128	175	103	215	108	51	70	143	134
ENSG00000004776	0	1	6	22	1	2	4	0	4	3
ENSG00000004777	208	351	304	278	333	266	107	405	206	149
ENSG00000004779	454	448	600	340	595	297	194	189	514	572
ENSG00000004799	309	121	254	391	307	715	108	243	114	352
ENSG00000004809	0	0	0	0	0	0	0	0	0	0
ENSG00000004838	0	8	4	7	7	4	2	17	1	7
ENSG00000004846	0	0	0	0	1	0	0	0	0	0
ENSG00000004848	70	18	18	77	25	131	2	48	16	60
ENSG00000004864	232	221	328	174	300	185	160	115	228	247
ENSG00000004866	248	320	345	182	306	255	126	104	359	235
ENSG00000004897	302	323	599	443	488	529	165	506	397	566
ENSG00000004939	0	0	0	0	0	0	0	0	0	0
ENSG00000004948	0	0	0	3	4	0	0	0	0	0
ENSG00000004961	287	269	321	295	303	316	166	188	258	277
ENSG00000004975	408	408	413	524	522	400	259	234	334	345
ENSG00000005001	139	407	452	66	685	101	295	41	523	126
ENSG00000005007	484	622	590	460	739	413	283	348	624	443
ENSG00000005020	245	265	346	314	381	353	195	108	234	223
ENSG00000005022	1625	1899	3369	1503	2853	1348	1181	1156	2475	2320
ENSG00000005059	107	173	181	96	219	140	149	87	198	157
ENSG00000005073	2	7	8	20	7	11	0	0	12	13
ENSG00000005075	907	959	1029	542	907	546	485	257	973	869
ENSG00000005100	196	153	237	293	245	252	64	133	160	174
ENSG00000005102	0	0	0	0	0	0	0	1	0	0
ENSG00000005108	110	128	157	182	257	82	136	52	177	80
ENSG00000005156	443	245	312	374	311	385	110	157	182	283
ENSG00000005175	141	227	297	228	291	222	81	188	200	327
ENSG00000005187	34	34	74	75	41	50	9	25	45	44
ENSG00000005189	47	25	62	40	30	46	31	22	43	28
ENSG00000005194	450	495	609	485	512	414	194	245	503	449
ENSG00000005206	857	1254	1106	610	1533	511	579	448	950	675
ENSG00000005238	628	1012	589	663	823	499	412	437	846	497
ENSG00000005243	143	42	55	48	116	39	58	81	48	97
ENSG00000005249	0	0	3	3	2	1	0	2	1	0
ENSG00000005302	312	299	318	386	300	334	223	328	232	271
ENSG00000005339	427	445	456	564	454	546	256	379	305	293
ENSG00000005379	1	19	36	3	45	45	52	58	20	24
ENSG00000005381	0	1	1	0	0	0	0	0	0	0
ENSG00000005421	51	53	50	11	69	56	9	73	45	75
ENSG00000005436	94	140	169	98	178	148	44	54	109	203
ENSG00000005448	332	229	259	241	297	174	161	84	225	266
ENSG00000005469	77	54	107	48	103	107	57	6	61	115
ENSG00000005471	2	4	7	0	8	13	0	0	0	2
ENSG00000005483	401	438	386	687	451	459	210	586	419	260
ENSG00000005486	1006	940	801	814	906	600	381	477	940	959
ENSG00000005513	32	13	2	33	9	28	2	21	14	20
ENSG00000005700	259	306	523	264	517	443	167	370	316	378
ENSG00000005801	157	301	481	209	533	377	130	230	305	361
ENSG00000005810	153	140	230	173	168	101	48	157	90	105
ENSG00000005812	68	83	98	76	111	88	50	91	77	83
ENSG00000005844	13	20	5	18	14	20	1	6	3	10
ENSG00000005882	84	34	38	148	55	103	44	79	50	38
ENSG00000005884	5117	6538	5406	5647	6447	3502	3339	3414	6062	4491
ENSG00000005889	147	125	177	197	199	243	110	194	112	147
ENSG00000005893	379	461	708	406	563	351	383	281	530	501
ENSG00000005961	5	6	7	9	3	0	0	17	0	7
ENSG00000005981	6	23	48	38	18	39	12	23	13	36
ENSG00000006007	311	396	487	363	501	398	334	176	464	400
ENSG00000006015	475	489	534	270	583	253	257	253	537	584
ENSG00000006016	32	31	5	19	14	18	8	0	12	8
ENSG00000006025	571	637	439	549	663	519	274	380	388	384
ENSG00000006042	617	334	413	733	481	531	204	237	359	746
ENSG00000006047	6	2	10	4	31	39	0	0	8	2
ENSG00000006059	0	0	0	0	0	0	0	0	0	0
ENSG00000006062	163	125	153	137	187	157	109	256	146	131
ENSG00000006071	7	5	0	17	0	0	16	0	0	10
ENSG00000006116	0	0	0	0	0	0	0	0	0	0
ENSG00000006118	1375	1348	1741	1310	711	854	525	770	832	1077
ENSG00000006125	2930	2703	3191	4073	3392	3674	1474	1438	3055	2866
ENSG00000006128	5	0	0	0	0	0	0	0	0	0
ENSG00000006194	359	444	440	256	529	343	263	190	323	396
ENSG00000006210	164	46	41	97	80	88	53	39	62	93
ENSG00000006282	2038	1685	1561	1705	2115	1585	811	969	1481	2160
ENSG00000006283	10	8	6	49	20	8	0	53	5	23
ENSG00000006327	2220	3164	2364	2033	2313	1387	871	1112	3419	1896
ENSG00000006377	0	0	0	0	0	0	0	0	0	0
ENSG00000006432	113	173	194	160	207	125	81	154	121	104
ENSG00000006451	458	647	718	410	664	396	304	420	810	638
ENSG00000006453	1049	2014	1614	981	2205	860	1020	502	1928	1180
ENSG00000006459	87	100	150	139	176	99	177	146	119	98
ENSG00000006468	36	24	78	27	62	35	12	74	21	38
ENSG00000006530	426	496	496	542	554	725	196	672	356	534
ENSG00000006534	5890	5473	5054	5250	6863	4655	2864	3182	5423	4717
ENSG00000006555	0	0	0	0	0	0	0	0	0	0
ENSG00000006576	45	60	106	42	95	130	24	132	61	95
ENSG00000006606	18	7	6	0	9	3	0	0	10	6
ENSG00000006607	231	101	126	152	146	178	72	108	119	164
ENSG00000006611	1833	1099	1134	1353	1644	1579	681	666	1129	1551
ENSG00000006625	99	241	446	147	342	159	96	170	310	297
ENSG00000006634	71	70	167	37	115	86	49	29	79	74
ENSG00000006638	0	1	2	0	6	0	0	0	1	4
ENSG00000006652	137	315	315	247	391	243	150	322	336	248
ENSG00000006659	0	0	0	0	0	0	0	0	0	0
ENSG00000006695	141	130	155	157	176	159	81	106	165	147
ENSG00000006704	303	249	323	203	330	259	135	107	255	237
ENSG00000006712	823	734	767	756	732	641	344	340	552	679
ENSG00000006715	283	282	366	273	369	311	158	153	287	311
ENSG00000006740	58	7	9	48	5	24	16	4	9	22
ENSG00000006744	901	689	877	719	755	695	340	377	667	847
ENSG00000006747	36	42	25	34	66	32	34	25	36	19
ENSG00000006756	544	453	398	491	576	380	340	203	430	499
ENSG00000006757	213	175	192	294	185	139	81	104	99	135
ENSG00000006788	0	3	0	0	0	0	0	0	0	0
ENSG00000006831	464	790	946	510	890	415	420	247	798	538
ENSG00000006837	12	9	12	18	15	0	5	6	4	8
ENSG00000007001	0	0	0	7	5	11	0	11	3	1
ENSG00000007038	0	0	2	0	0	0	0	0	0	0
ENSG00000007047	213	264	196	243	242	203	128	167	260	184
ENSG00000007062	0	0	0	7	0	5	0	0	0	10
ENSG00000007080	589	614	649	408	713	459	253	406	660	529
ENSG00000007129	0	0	0	0	0	0	0	0	0	0
ENSG00000007168	854	821	819	852	1070	762	447	703	834	989
ENSG00000007171	0	1	0	0	1	0	0	0	0	0
ENSG00000007174	0	0	0	0	1	0	0	0	0	0
ENSG00000007202	875	611	793	846	687	694	376	600	623	743
ENSG00000007216	45	0	3	43	14	65	16	0	8	11
ENSG00000007237	9	2	0	16	1	14	0	0	4	1
ENSG00000007255	299	227	334	205	348	106	137	118	329	327
ENSG00000007264	15	0	3	5	2	23	2	0	0	3
ENSG00000007306	47	5	70	48	21	48	0	0	11	19
ENSG00000007312	0	0	1	0	0	0	0	0	0	0
ENSG00000007314	6	0	0	0	0	0	0	0	5	0
ENSG00000007341	23	73	65	50	61	34	52	50	54	49
ENSG00000007350	0	0	0	0	0	0	0	0	0	0
ENSG00000007372	4	1	9	27	7	34	10	56	6	22
ENSG00000007376	263	530	566	359	472	288	207	244	559	362
ENSG00000007384	350	695	505	435	687	190	258	290	539	337
ENSG00000007392	517	619	706	526	944	487	644	692	493	719
ENSG00000007402	17	10	2	1	6	17	13	0	1	6
ENSG00000007516	56	111	78	93	171	53	74	88	56	73
ENSG00000007520	533	485	550	439	551	296	301	304	479	444
ENSG00000007541	791	735	689	551	856	508	309	217	658	565
ENSG00000007545	106	102	119	36	123	102	51	50	86	124
ENSG00000007866	125	75	116	151	114	121	59	122	105	105
ENSG00000007908	0	0	0	0	0	0	0	0	0	2
ENSG00000007923	97	83	107	100	124	146	68	142	65	79
ENSG00000007933	0	0	0	0	0	0	0	0	0	3
ENSG00000007944	45	68	61	64	77	19	19	85	61	48
ENSG00000007952	60	16	69	65	52	63	0	9	8	69
ENSG00000007968	29	34	59	37	48	23	25	39	36	39
ENSG00000008018	541	641	921	588	920	528	367	290	766	869
ENSG00000008056	0	0	0	0	0	0	0	0	0	3
ENSG00000008083	115	98	112	77	105	113	55	99	87	107
ENSG00000008086	76	115	87	175	95	143	63	102	47	102
ENSG00000008118	0	15	11	0	5	13	0	11	11	0
ENSG00000008128	24	13	14	8	16	0	18	5	12	9
ENSG00000008130	322	377	463	326	445	246	222	161	354	272
ENSG00000008196	0	0	0	4	0	0	0	0	1	0
ENSG00000008197	0	0	0	0	0	0	0	0	0	0
ENSG00000008226	8	3	5	14	16	1	15	0	6	6
ENSG00000008256	186	185	199	133	224	133	103	163	176	143
ENSG00000008277	32	29	41	31	24	32	19	25	9	11
ENSG00000008282	173	339	523	244	407	277	330	363	329	347
ENSG00000008283	423	335	476	396	507	471	215	250	328	438
ENSG00000008294	543	396	498	512	653	550	309	427	428	594
ENSG00000008300	328	300	254	235	297	271	167	205	218	254
ENSG00000008311	0	4	1	6	4	0	0	3	3	4
ENSG00000008323	14	11	14	17	28	13	10	15	25	15
ENSG00000008324	58	100	137	37	117	46	53	11	103	104
ENSG00000008382	59	56	41	56	61	47	14	29	67	29
ENSG00000008394	4033	3069	4113	4837	3389	6368	1619	3212	2812	4196
ENSG00000008405	38	69	58	42	81	20	23	44	90	75
ENSG00000008438	0	3	0	0	3	0	2	0	0	0
ENSG00000008441	522	342	221	623	214	594	144	483	218	329
ENSG00000008513	579	796	892	607	837	497	323	640	1042	474
ENSG00000008516	0	13	7	26	16	14	0	11	4	11
ENSG00000008517	1521	2193	1344	1204	1091	961	450	1204	2007	1637
ENSG00000008710	635	525	512	523	658	446	276	415	396	309
ENSG00000008735	24	1	17	55	9	25	4	61	13	20
ENSG00000008838	899	670	875	708	742	661	298	394	667	565
ENSG00000008853	497	716	661	514	735	639	533	247	615	359
ENSG00000008869	169	190	261	244	376	265	170	201	235	238
ENSG00000008952	678	709	939	622	931	759	365	433	769	843
ENSG00000008988	7599	9158	11516	6357	11179	5801	5091	3049	10270	10395
ENSG00000009307	1203	1470	1878	1626	1648	1561	834	1266	1471	1402
ENSG00000009335	524	584	637	574	675	468	475	354	467	419
ENSG00000009413	63	43	58	43	82	118	85	33	76	64
ENSG00000009694	0	2	3	3	8	0	0	0	1	0
ENSG00000009709	71	83	126	88	79	58	58	117	102	47
ENSG00000009724	25	14	6	17	16	27	0	6	2	11
ENSG00000009765	6	2	9	14	12	21	0	6	15	8
ENSG00000009780	70	91	109	48	98	117	26	69	64	77
ENSG00000009790	0	0	0	0	0	0	0	0	0	0
ENSG00000009830	406	427	384	388	459	362	242	196	320	324
ENSG00000009844	169	260	335	232	273	199	73	173	255	172
ENSG00000009950	487	284	348	421	543	492	197	367	193	297
ENSG00000009954	738	800	895	933	774	728	397	576	633	605
ENSG00000010017	223	161	255	114	217	174	176	173	187	154
ENSG00000010030	0	0	2	0	1	0	14	0	4	1
ENSG00000010072	63	95	144	89	110	95	32	75	100	87
ENSG00000010165	363	336	391	215	298	328	187	115	255	363
ENSG00000010219	446	345	402	418	453	456	128	197	423	447
ENSG00000010244	1179	1080	1699	1354	1592	1206	751	1037	1265	1256
ENSG00000010256	1640	1666	1926	1331	1628	1061	608	593	1695	1637
ENSG00000010270	274	232	276	342	353	328	204	164	330	315
ENSG00000010278	702	943	888	864	986	759	581	1466	1226	774
ENSG00000010282	0	0	0	0	0	0	0	0	0	0
ENSG00000010292	627	571	945	506	660	505	385	350	564	403
ENSG00000010295	2	22	19	40	8	15	1	7	13	20
ENSG00000010310	145	164	161	129	387	114	153	14	139	120
ENSG00000010318	37	34	33	30	44	3	41	1	38	28
ENSG00000010319	0	0	0	1	1	0	0	0	0	0
ENSG00000010322	475	506	421	529	549	527	268	339	256	357
ENSG00000010327	0	0	0	0	2	0	0	0	0	0
ENSG00000010361	170	124	121	140	133	104	38	146	90	147
ENSG00000010379	5	0	3	1	5	0	0	0	0	0
ENSG00000010404	672	898	755	911	979	818	696	813	917	632
ENSG00000010438	323	597	521	267	732	185	314	86	809	346
ENSG00000010539	29	68	74	43	68	125	62	50	43	73
ENSG00000010610	0	0	2	3	2	0	2	0	2	4
ENSG00000010626	167	160	181	143	181	106	65	95	153	213
ENSG00000010671	0	0	0	0	0	0	0	0	2	0
ENSG00000010704	182	142	195	200	201	152	77	144	158	157
ENSG00000010803	308	315	308	309	301	275	204	112	316	243
ENSG00000010810	18	2	12	25	10	5	7	7	9	5
ENSG00000010818	162	129	146	162	236	212	148	40	131	111
ENSG00000010932	0	0	0	22	0	0	0	0	0	1
ENSG00000011007	269	199	225	267	258	107	126	96	251	153
ENSG00000011009	1057	968	1019	777	928	640	379	507	932	691
ENSG00000011021	175	176	181	166	267	147	83	235	159	170
ENSG00000011028	192	76	35	306	53	164	82	131	46	135
ENSG00000011052	2	2	0	1	0	2	0	0	1	2
ENSG00000011083	0	5	5	0	6	0	0	0	2	0
ENSG00000011105	215	55	94	122	93	119	101	24	95	111
ENSG00000011114	170	212	241	190	209	243	111	60	140	135
ENSG00000011132	152	165	197	206	182	196	118	158	200	175
ENSG00000011143	238	139	163	144	202	127	58	74	93	225
ENSG00000011198	83	105	138	94	161	98	52	15	124	116
ENSG00000011201	0	0	0	0	0	0	0	0	0	0
ENSG00000011243	178	276	311	243	353	235	155	211	187	205
ENSG00000011258	78	165	201	173	174	225	113	242	110	171
ENSG00000011260	200	230	357	267	314	248	95	224	276	361
ENSG00000011275	424	341	386	315	488	349	172	107	310	351
ENSG00000011295	454	432	536	450	613	458	314	304	458	607
ENSG00000011304	2790	2845	3626	2643	2992	2583	1474	1889	2828	2370
ENSG00000011332	41	5	24	15	18	26	0	35	8	32
ENSG00000011347	4	29	28	21	66	20	20	41	20	14
ENSG00000011376	73	78	135	65	93	105	37	23	71	79
ENSG00000011405	170	184	254	240	260	215	235	338	163	142
ENSG00000011422	1150	2011	1800	1161	2302	944	879	432	2231	1131
ENSG00000011426	327	381	550	417	411	375	257	352	456	271
ENSG00000011451	541	497	523	501	451	495	309	474	404	336
ENSG00000011454	224	226	261	289	354	237	127	140	213	271
ENSG00000011465	36	45	84	259	93	47	35	38	48	47
ENSG00000011478	215	216	176	174	192	217	112	143	148	230
ENSG00000011485	1084	1030	1048	804	1106	837	672	532	899	740
ENSG00000011523	110	69	100	82	101	82	76	86	83	120
ENSG00000011566	152	142	201	130	242	132	101	134	155	138
ENSG00000011590	14	0	2	2	9	0	5	0	5	5
ENSG00000011600	0	0	0	0	0	0	0	0	0	6
ENSG00000011638	67	77	101	117	136	79	72	60	114	94
ENSG00000011677	59	42	34	40	71	20	38	14	68	38
ENSG00000012048	207	136	208	215	144	149	82	141	89	143
ENSG00000012061	982	778	777	655	840	589	465	516	776	778
ENSG00000012124	11	5	4	0	14	0	1	0	8	1
ENSG00000012171	2617	2493	2213	1861	4262	1925	1232	987	2825	2372
ENSG00000012174	95	99	130	137	145	164	91	201	101	113
ENSG00000012211	125	209	240	257	275	224	129	227	195	125
ENSG00000012223	0	0	0	2	2	0	0	0	0	0
ENSG00000012232	224	367	388	213	281	269	71	199	308	254
ENSG00000012504	250	48	91	107	75	179	14	142	52	150
ENSG00000012660	344	302	476	506	423	634	258	459	351	336
ENSG00000012779	597	653	724	656	961	587	334	210	651	509
ENSG00000012817	281	353	354	170	424	346	180	283	299	223
ENSG00000012822	839	829	686	960	1112	865	590	846	518	583
ENSG00000012963	326	269	322	201	321	252	155	164	261	216
ENSG00000012983	116	212	311	226	300	147	92	174	231	196
ENSG00000013016	91	51	68	152	60	129	31	22	102	84
ENSG00000013275	2308	1551	2317	1900	2062	2009	889	1227	1951	2283
ENSG00000013288	272	196	201	204	222	188	201	169	196	140
ENSG00000013293	0	0	2	0	0	0	1	2	0	0
ENSG00000013297	19	24	16	17	9	27	8	10	12	17
ENSG00000013306	3063	2428	2845	2305	2498	2325	1037	1491	2122	2424
ENSG00000013364	3045	3453	3438	2250	4014	2048	1519	1113	3485	2854
ENSG00000013374	611	725	823	610	765	663	463	416	745	641
ENSG00000013375	268	223	374	225	428	343	147	155	303	307
ENSG00000013392	99	68	87	32	141	82	33	69	97	88
ENSG00000013441	723	1513	1353	931	1826	1042	689	929	1425	1507
ENSG00000013503	55	63	87	28	104	92	10	41	38	61
ENSG00000013523	110	112	178	225	172	211	87	239	97	136
ENSG00000013561	187	220	396	210	375	230	116	55	248	312
ENSG00000013563	242	203	149	190	159	158	52	162	150	107
ENSG00000013573	723	767	757	523	806	493	333	487	507	596
ENSG00000013583	523	513	452	438	508	556	219	244	506	539
ENSG00000013588	3406	5696	6197	4388	7029	3434	2873	2245	8042	4141
ENSG00000013619	91	227	191	145	253	132	82	127	221	162
ENSG00000013725	0	1	0	0	2	0	0	0	2	0
ENSG00000013810	358	490	757	270	514	323	271	228	503	365
ENSG00000014123	120	121	218	138	244	233	115	133	170	98
ENSG00000014138	57	72	93	18	82	19	20	12	82	81
ENSG00000014164	837	786	725	683	690	584	325	468	510	498
ENSG00000014216	2382	3167	2785	2455	3163	2010	1497	1541	3115	1904
ENSG00000014257	4	1	16	0	6	7	7	7	6	5
ENSG00000014641	1021	956	1547	842	1246	842	540	321	1298	1318
ENSG00000014824	188	236	387	227	371	238	127	237	207	264
ENSG00000014914	988	1555	1331	915	1557	748	746	585	1103	822
ENSG00000014919	246	252	366	250	425	205	164	136	290	328
ENSG00000015133	118	110	124	175	122	77	58	237	82	107
ENSG00000015153	106	79	160	55	125	80	68	132	62	60
ENSG00000015171	376	376	518	463	463	410	221	452	296	400
ENSG00000015285	0	3	6	22	6	10	0	0	1	2
ENSG00000015413	0	0	5	13	3	0	0	0	4	4
ENSG00000015475	381	526	685	284	515	272	204	262	526	501
ENSG00000015479	15	25	23	6	32	10	33	47	16	16
ENSG00000015520	0	0	6	1	5	0	3	0	7	1
ENSG00000015532	499	405	408	556	455	530	262	254	295	370
ENSG00000015568	1	1	1	0	6	0	1	1	1	1
ENSG00000015592	0	0	0	0	0	0	0	0	0	0
ENSG00000015676	739	920	952	795	1030	556	604	385	712	620
ENSG00000016082	0	0	0	0	0	0	0	0	3	0
ENSG00000016391	167	147	153	117	176	154	64	62	152	142
ENSG00000016402	0	1	3	0	9	0	0	0	6	3
ENSG00000016490	0	0	0	0	0	0	0	0	0	0
ENSG00000016602	0	0	0	0	0	0	0	0	0	0
ENSG00000016864	261	376	419	358	444	280	219	118	373	441
ENSG00000017260	192	295	356	197	433	185	178	70	295	282
ENSG00000017427	0	2	6	0	0	0	0	0	5	0
ENSG00000017483	0	9	1	8	3	0	1	0	2	2
ENSG00000017797	267	335	377	399	370	318	144	203	432	229
ENSG00000018189	119	147	147	131	165	136	89	77	91	113
ENSG00000018236	411	426	943	535	757	538	459	364	518	568
ENSG00000018280	39	28	36	48	56	49	18	0	29	48
ENSG00000018408	591	546	770	777	643	758	517	760	723	810
ENSG00000018510	257	274	333	269	334	337	111	389	297	328
ENSG00000018607	0	0	0	0	0	0	0	0	0	0
ENSG00000018610	231	135	144	166	135	139	51	81	123	174
ENSG00000018625	0	0	1	8	3	0	0	0	0	0
ENSG00000018699	165	124	163	112	130	191	79	96	121	187
ENSG00000018869	0	5	8	3	13	1	0	0	4	5
ENSG00000019102	0	1	2	0	0	0	0	0	0	1
ENSG00000019144	185	82	48	241	65	157	26	220	41	115
ENSG00000019169	0	2	0	0	0	0	0	0	0	0
ENSG00000019186	3790	2747	2947	4467	2384	3242	2061	4534	1468	3350
ENSG00000019485	154	212	203	185	192	255	137	76	164	191
ENSG00000019505	1558	1977	1591	1838	2199	1989	918	928	1740	2033
ENSG00000019549	0	13	10	12	5	3	14	24	7	10
ENSG00000019582	0	0	0	0	1	0	0	0	2	3
ENSG00000019991	9	12	6	13	18	2	7	4	4	14
ENSG00000019995	26	55	62	71	66	99	56	14	66	49
ENSG00000020129	292	222	214	188	178	168	125	118	191	195
ENSG00000020181	15	1	1	13	2	22	3	0	2	4
ENSG00000020219	0	0	0	0	4	0	0	0	0	0
ENSG00000020256	133	187	187	181	206	159	86	218	130	165
ENSG00000020426	164	174	186	225	246	227	76	65	180	234
ENSG00000020577	107	324	307	147	291	103	213	111	321	119
ENSG00000020633	42	34	37	110	58	73	50	23	53	38
ENSG00000020922	131	181	234	151	239	149	119	207	140	156
ENSG00000021300	65	88	82	72	50	44	22	19	65	35
ENSG00000021355	1018	1654	2334	1199	2305	1163	985	629	2179	1819
ENSG00000021461	0	1	0	0	2	0	0	0	0	0
ENSG00000021488	16	16	16	16	18	15	15	8	2	14
ENSG00000021574	52	56	113	94	65	64	23	40	38	71
ENSG00000021645	0	0	0	1	1	0	0	0	0	0
ENSG00000021762	214	210	101	138	171	126	121	113	136	125
ENSG00000021776	557	713	978	644	725	803	298	390	686	596
ENSG00000021826	3558	1437	3212	4506	2314	5327	955	3107	1054	3721
ENSG00000021852	0	0	0	0	0	0	0	0	0	0
ENSG00000022267	23	26	13	50	13	16	5	2	9	15
ENSG00000022277	369	400	502	341	518	409	310	194	490	422
ENSG00000022355	0	0	0	0	0	0	0	0	0	0
ENSG00000022556	430	475	556	449	522	418	274	243	431	548
ENSG00000022567	750	356	455	550	492	848	235	248	290	521
ENSG00000022840	813	1188	1382	889	1368	659	629	320	1120	855
ENSG00000022976	37	70	87	61	116	119	65	43	51	60
ENSG00000023041	532	577	732	373	900	568	260	483	563	670
ENSG00000023171	953	1264	1148	880	1364	1041	554	698	1008	944
ENSG00000023191	1043	892	1109	724	1244	544	574	356	1163	973
ENSG00000023228	439	393	508	523	406	526	126	277	322	515
ENSG00000023287	162	188	366	239	305	230	118	322	272	298
ENSG00000023318	451	882	1153	697	1138	574	343	342	909	759
ENSG00000023330	283	266	366	353	328	293	106	205	330	226
ENSG00000023445	118	491	985	260	688	139	245	135	694	333
ENSG00000023516	72	107	151	125	161	104	57	247	107	75
ENSG00000023572	117	199	292	125	216	100	115	106	182	191
ENSG00000023608	108	78	90	75	89	72	70	14	97	104
ENSG00000023697	237	160	414	182	353	233	153	111	223	261
ENSG00000023734	421	477	852	646	722	701	270	591	518	780
ENSG00000023839	1624	1708	2756	2064	3130	2645	1313	1443	1697	1871
ENSG00000023892	0	7	6	14	13	9	0	0	5	9
ENSG00000023902	60	63	61	84	81	68	38	16	46	98
ENSG00000023909	303	146	345	182	268	305	151	287	238	273
ENSG00000024048	176	255	349	179	363	220	143	143	283	230
ENSG00000024422	1607	2308	1640	2379	2073	1313	891	1283	2399	1364
ENSG00000024526	20	69	102	23	49	33	17	90	49	40
ENSG00000024862	62	71	145	41	97	43	31	38	68	114
ENSG00000025039	41	47	79	90	119	80	1	0	71	83
ENSG00000025156	34	54	84	76	126	68	25	32	49	73
ENSG00000025293	234	222	237	240	237	232	107	97	129	133
ENSG00000025423	22	14	3	37	8	25	0	0	1	13
ENSG00000025434	305	150	148	237	189	269	103	162	57	271
ENSG00000025708	478	475	551	515	411	454	239	338	354	651
ENSG00000025770	181	267	364	137	366	206	93	64	321	265
ENSG00000025772	315	353	342	377	331	316	204	255	332	298
ENSG00000025796	305	427	712	495	672	537	245	362	454	485
ENSG00000025800	341	304	367	327	408	383	144	324	341	292
ENSG00000026025	5947	9177	7414	7233	8959	6165	2982	4414	7745	10084
ENSG00000026036	26	36	50	21	58	65	35	21	48	26
ENSG00000026103	37	57	78	91	38	144	19	89	51	80
ENSG00000026297	178	185	173	116	185	135	68	22	118	137
ENSG00000026508	2629	2423	3337	3815	2342	3819	1302	1835	2208	3343
ENSG00000026559	0	4	16	12	10	4	0	15	8	10
ENSG00000026652	108	140	108	70	168	44	68	65	124	117
ENSG00000026751	0	43	23	0	43	0	1	0	34	3
ENSG00000026950	103	126	145	155	144	174	75	34	83	135
ENSG00000027001	123	116	194	98	158	102	60	38	145	183
ENSG00000027075	40	4	18	10	7	5	7	0	11	12
ENSG00000027644	0	0	0	0	1	0	0	0	0	0
