gene_id	control1	control2	control3	control4	treated1	treated2	treated3	treated4
SYN00082	49	59	82	57	231	114	298	242
SYN00083	20	23	43	28	83	86	90	109
SYN00084	214	141	186	197	541	587	843	932
SYN00085	0	3	2	0	10	9	6	7
SYN00086	24	19	60	44	74	136	107	103
SYN00087	99	107	97	82	318	253	438	303
SYN00088	6	5	3	3	24	9	18	7
SYN00089	3	8	11	10	24	36	34	32
SYN00090	96	90	89	73	239	263	273	344
SYN00091	162	173	189	258	695	600	751	944
SYN00092	16	13	14	8	31	53	39	45
SYN00093	5	3	7	9	20	13	10	11
SYN00094	29	37	44	39	156	106	111	128
SYN00095	0	3	1	0	3	2	2	4
SYN00096	36	43	66	46	180	133	143	180
SYN00097	26	35	28	44	76	92	88	100
SYN00098	10	5	11	6	21	26	36	28
SYN00099	6	0	4	10	7	11	25	42
SYN00100	71	48	53	92	294	188	280	314
SYN00101	67	33	58	64	166	226	212	222
SYN00102	171	168	125	170	578	477	696	424
SYN00103	144	131	164	131	560	479	420	603
SYN00104	0	1	0	0	3	6	2	5
SYN00105	41	43	54	109	227	295	219	241
SYN00106	1	4	2	2	13	4	13	8
SYN00107	41	27	44	47	105	138	128	121
SYN00108	26	21	33	27	93	94	101	65
SYN00109	236	251	282	310	1074	956	1236	959
SYN00110	496	346	465	434	1678	1808	1320	1576
SYN00111	26	22	32	33	117	81	154	141
SYN00112	5	4	13	7	28	28	27	24
SYN00113	7	9	14	14	34	60	83	43
SYN00114	127	186	273	279	769	650	526	684
SYN00115	47	42	42	55	128	89	131	173
SYN00116	7	3	5	3	13	18	19	26
SYN00117	53	36	24	39	101	101	105	117
SYN00118	39	40	43	20	111	112	112	106
SYN00119	87	137	93	141	380	346	459	439
SYN00120	46	33	59	60	122	164	232	220
SYN00121	19	9	13	17	40	54	39	58
SYN00122	21	8	14	38	58	54	54	68
SYN00123	45	31	38	41	153	100	141	149
SYN00124	45	36	47	54	146	187	159	272
SYN00125	16	18	10	13	27	45	39	41
SYN00126	8	7	10	13	42	39	59	38
SYN00127	9	11	16	14	29	45	54	36
SYN00128	34	44	54	68	95	170	169	168
SYN00129	43	47	45	58	116	127	271	123
SYN00130	10	3	12	9	49	34	41	48
SYN00131	32	23	26	24	39	60	77	105
SYN00132	37	22	22	31	67	75	98	118
SYN00133	99	77	128	99	311	279	321	220
SYN00134	154	97	111	82	330	450	546	491
SYN00135	0	1	1	1	0	0	1	2
SYN00136	44	17	22	58	108	76	77	105
SYN00137	1	2	1	5	7	4	6	6
SYN00138	4	7	5	2	17	9	16	20
SYN00139	4	5	3	8	15	24	30	21
SYN00140	20	13	18	28	60	47	37	45
SYN00141	6	9	7	8	25	18	26	22
SYN00142	6	4	9	9	14	19	35	19
SYN00143	27	11	34	20	39	69	102	74
SYN00144	15	12	13	17	49	29	45	51
SYN00145	45	49	47	49	159	88	125	105
SYN00146	110	46	46	109	190	242	228	201
SYN00147	1	2	1	1	8	6	7	7
SYN00148	27	17	31	23	91	73	87	96
SYN00149	153	141	135	145	347	397	435	584
SYN00150	46	19	20	20	60	75	119	91
SYN00151	9	11	13	11	34	28	30	47
SYN00152	4	7	3	4	25	14	23	17
SYN00153	0	2	3	4	14	8	20	11
SYN00154	1	1	2	2	9	6	9	12
SYN00155	3	4	1	6	13	15	9	20
SYN00156	11	14	20	11	58	43	50	77
SYN00157	5	2	8	16	28	30	33	37
SYN00158	9	12	7	7	18	53	29	27
SYN00159	51	34	72	58	142	135	171	88
SYN00160	8	14	13	9	34	44	42	35
SYN00161	72	137	73	80	208	280	316	277
SYN00162	5	2	4	3	19	3	12	11
SYN00163	17	14	15	13	51	56	50	54
SYN00164	3	5	1	4	13	13	9	11
SYN00165	57	39	42	46	164	187	192	177
SYN00166	10	8	10	7	40	37	17	31
SYN00167	5	5	16	20	39	23	36	43
SYN00168	49	38	78	51	111	186	160	234
SYN00169	2	5	5	3	8	10	9	11
SYN00170	21	16	14	17	54	51	77	55
SYN00171	3	4	4	2	5	10	12	16
SYN00172	1	2	3	4	5	4	8	4
SYN00173	10	22	34	10	50	40	82	60
SYN00174	16	19	22	24	88	85	96	72
SYN00175	2	0	2	9	14	13	22	20
SYN00176	39	28	32	42	177	133	107	101
SYN00177	7	10	9	6	20	14	29	28
SYN00178	2	6	10	7	32	20	26	22
SYN00179	5	6	3	5	14	23	19	20
SYN00180	14	17	8	9	25	42	32	56
SYN00181	43	49	74	44	172	256	173	152
SYN00182	6	4	9	8	19	27	24	14
SYN00183	14	12	9	13	41	32	39	33
SYN00184	28	36	54	33	157	89	105	175
SYN00185	18	13	15	15	47	46	64	34
SYN00186	56	42	65	56	209	178	180	233
SYN00187	36	32	33	35	103	144	154	141
SYN00188	11	6	13	13	22	32	35	36
SYN00189	172	222	245	336	629	983	1241	693
SYN00190	53	77	87	70	234	281	410	196
SYN00191	12	12	11	19	65	51	67	70
SYN00192	83	82	93	87	292	265	292	394
SYN00193	171	163	219	214	780	357	571	542
SYN00194	13	18	24	18	37	41	61	56
SYN00195	6	7	5	2	16	14	21	20
SYN00196	49	44	34	52	133	124	150	162
SYN00197	44	42	51	41	109	206	142	173
SYN00198	12	6	4	10	33	42	48	42
SYN00199	179	155	138	144	410	361	374	374
SYN00200	4	5	3	6	13	17	19	25
SYN00201	10	4	7	6	20	19	17	34
SYN00202	16	31	23	23	106	71	89	67
SYN00203	104	85	116	144	460	366	470	424
SYN00204	10	10	8	12	29	36	25	32
SYN00205	5	10	7	4	6	11	8	11
SYN00206	2	1	1	5	10	15	17	9
SYN00207	42	45	58	47	142	122	181	125
SYN00208	137	110	66	97	507	401	585	566
SYN00209	16	13	18	23	46	29	48	52
SYN00210	6	6	4	7	12	10	19	9
SYN00211	35	31	23	39	73	139	125	82
SYN00212	25	32	38	23	74	62	67	110
SYN00213	6	7	13	11	19	35	19	28
SYN00214	34	34	48	40	68	76	101	140
SYN00215	131	142	156	111	542	474	461	385
SYN00216	21	12	22	19	49	49	86	103
SYN00217	3	2	4	3	6	6	18	14
SYN00218	18	10	20	27	37	74	62	67
SYN00219	6	3	6	4	11	11	19	19
SYN00220	16	24	28	45	131	92	104	114
SYN00221	10	6	12	14	20	22	39	37
SYN00222	16	31	26	20	62	83	137	97
SYN00223	97	50	94	85	269	176	206	296
SYN00224	2	7	8	8	16	39	34	28
SYN00225	34	24	34	30	128	98	127	139
SYN00226	38	35	27	37	89	89	105	118
SYN00227	62	52	89	57	147	140	236	178
SYN00228	1	4	5	5	15	11	16	12
SYN00229	69	84	95	83	162	312	214	260
SYN00230	6	5	13	6	47	37	25	54
SYN00231	3	6	10	8	21	17	15	13
SYN00232	113	130	122	179	462	278	399	358
SYN00233	40	35	49	31	91	78	135	142
SYN00234	56	43	78	96	215	158	218	241
SYN00235	0	3	8	9	4	13	6	7
SYN00236	2	3	4	5	22	16	21	15
SYN00237	154	150	123	118	684	417	294	623
SYN00238	535	666	728	1328	2347	2265	3560	2419
SYN00239	191	178	152	242	640	466	903	823
SYN00240	3	7	8	6	16	21	25	23
SYN00241	8	4	2	4	17	7	16	14
SYN00242	11	17	16	22	31	58	54	67
SYN00243	10	12	21	19	33	26	47	41
SYN00244	7	5	10	8	7	9	23	34
SYN00245	13	6	18	7	27	43	44	34
SYN00246	130	128	216	217	649	472	519	574
SYN00247	10	13	18	10	46	45	52	62
SYN00248	35	32	29	33	97	120	90	92
SYN00249	5	6	4	4	9	20	17	21
SYN00250	39	28	40	33	46	66	109	98
SYN00251	13	17	32	23	79	60	90	53
SYN00252	496	641	688	800	2144	2252	2476	1959
SYN00253	38	48	47	62	153	170	147	137
SYN00254	197	220	172	145	448	524	891	808
SYN00255	6	3	2	6	7	14	13	18
SYN00256	38	36	45	55	112	157	166	110
SYN00257	4	2	3	4	11	19	27	24
SYN00258	48	79	91	76	154	163	180	218
SYN00259	3	6	6	11	20	11	18	17
SYN00260	8	14	6	11	31	33	33	40
SYN00261	21	27	17	26	53	59	84	75
SYN00262	43	57	73	95	181	221	272	210
SYN00263	47	24	29	36	105	90	158	126
SYN00264	17	21	22	34	88	54	60	35
SYN00265	22	16	23	19	60	49	67	52
SYN00266	713	458	454	822	1726	1459	2308	2191
SYN00267	39	63	89	68	205	206	268	324
SYN00268	3	6	5	2	6	3	6	8
SYN00269	62	81	60	79	181	289	376	197
SYN00270	229	228	315	220	610	674	825	934
SYN00271	6	12	21	24	48	50	46	39
SYN00272	24	31	41	52	155	111	247	166
SYN00273	39	41	51	43	101	101	133	192
SYN00274	13	16	20	26	76	88	97	89
SYN00275	49	48	79	56	193	119	229	200
SYN00276	15	16	16	15	48	39	83	72
SYN00277	15	15	19	11	46	43	32	68
SYN00278	8	8	6	13	43	35	33	80
SYN00279	64	44	59	84	117	181	268	241
SYN00280	7	12	13	12	24	56	49	52
SYN00281	8	7	24	26	54	26	67	58
SYN00282	18	9	17	12	23	26	34	34
SYN00283	25	9	19	33	81	87	115	138
SYN00284	8	11	19	3	34	30	47	28
SYN00285	23	33	19	21	76	105	77	71
SYN00286	23	17	22	17	49	50	49	58
SYN00287	201	201	178	272	621	706	592	855
SYN00288	8	12	8	8	19	11	26	45
SYN00289	14	32	19	23	45	78	118	61
SYN00290	9	17	26	11	45	33	67	75
SYN00291	67	43	53	54	94	195	228	405
SYN00292	2	2	1	1	1	10	14	13
SYN00293	2	4	2	4	11	10	7	4
SYN00294	76	86	89	72	267	220	254	300
SYN00295	5	7	4	5	13	17	21	19
SYN00296	9	8	8	17	50	41	24	21
SYN00297	3	8	0	0	12	13	10	8
SYN00298	27	9	22	22	59	59	73	97
SYN00299	37	39	55	63	155	122	138	178
SYN00300	708	613	638	801	187	156	362	146
SYN00301	6	8	13	7	0	1	4	2
SYN00302	0	1	1	1	0	0	0	1
SYN00303	18	17	37	25	6	10	8	6
SYN00304	32	26	51	46	8	8	11	12
SYN00305	15	13	14	26	4	10	7	7
SYN00306	42	34	35	52	17	10	17	21
SYN00307	2	8	3	3	0	1	2	2
SYN00308	3	6	10	3	4	4	1	0
SYN00309	20	26	32	15	9	9	9	5
SYN00310	33	46	55	54	25	26	25	22
SYN00311	17	15	24	29	3	10	8	3
SYN00312	15	27	29	47	11	7	19	13
SYN00313	3	7	7	4	5	2	6	0
SYN00314	44	36	34	26	12	20	22	17
SYN00315	12	2	5	9	5	2	3	8
SYN00316	13	25	21	13	4	3	15	3
SYN00317	52	42	57	62	16	22	15	26
SYN00318	20	26	37	20	14	13	6	14
SYN00319	3	5	4	6	0	1	4	4
SYN00320	22	31	28	15	12	7	7	10
SYN00321	1	8	10	8	1	5	0	3
SYN00322	1	2	0	3	1	1	0	0
SYN00323	13	17	23	27	6	8	3	5
SYN00324	9	6	5	6	1	2	1	5
SYN00325	67	39	64	87	13	22	17	29
SYN00326	34	37	59	50	11	16	6	7
SYN00327	0	0	4	1	1	0	0	0
SYN00328	5	3	4	9	2	1	2	5
SYN00329	20	16	13	36	7	6	10	16
SYN00330	47	71	73	70	26	22	33	27
SYN00331	19	18	11	14	8	6	10	9
SYN00332	34	38	51	37	18	14	27	7
SYN00333	178	173	152	258	89	79	106	82
SYN00334	4	8	12	7	4	1	3	6
SYN00335	9	8	10	2	3	2	5	4
SYN00336	22	17	16	21	11	5	15	9
SYN00337	57	49	44	47	26	8	18	26
SYN00338	121	159	151	177	84	59	89	114
SYN00339	57	55	67	77	32	14	30	48
SYN00340	40	63	41	69	7	21	22	19
SYN00341	46	25	34	52	23	10	17	34
SYN00342	48	48	40	48	14	9	6	14
SYN00343	5	12	17	16	3	6	3	10
SYN00344	22	69	94	99	25	16	24	21
SYN00345	18	15	24	11	4	5	10	6
SYN00346	15	21	15	18	10	10	9	8
SYN00347	34	40	19	41	12	10	9	18
SYN00348	59	57	79	72	34	32	21	38
SYN00349	1	3	2	2	1	0	0	0
SYN00350	0	2	1	0	0	1	0	0
SYN00351	3	0	5	8	1	0	2	3
SYN00352	124	112	118	122	47	32	46	30
SYN00353	6	5	7	5	1	2	1	2
SYN00354	11	14	14	22	8	5	10	2
SYN00355	214	234	323	308	120	114	85	151
SYN00356	20	15	5	20	1	2	8	9
SYN00357	21	17	15	25	7	12	13	11
SYN00358	5	6	6	8	2	2	4	2
SYN00359	11	15	12	16	5	4	6	5
SYN00360	165	148	150	127	40	29	61	66
SYN00361	13	17	13	32	6	6	12	9
SYN00362	1	1	0	2	1	0	2	0
SYN00363	10	6	9	8	4	0	4	4
SYN00364	27	30	27	40	10	13	8	19
SYN00365	39	56	58	86	19	26	23	35
SYN00366	6	5	5	16	1	3	2	3
SYN00367	5	6	8	14	4	0	0	3
SYN00368	83	98	71	129	41	33	49	41
SYN00369	65	64	63	63	40	41	29	29
SYN00370	6	9	3	6	4	2	2	2
SYN00371	31	39	18	26	13	12	9	12
SYN00372	150	191	176	215	51	86	55	69
SYN00373	3	4	14	15	9	6	4	1
SYN00374	12	18	28	34	7	7	9	4
SYN00375	21	33	25	23	2	5	9	12
SYN00376	7	10	13	11	6	3	2	1
SYN00377	165	137	216	306	51	80	81	92
SYN00378	4	4	4	5	2	3	1	1
SYN00379	1419	1238	1435	1304	501	430	556	604
SYN00380	4	6	9	1	1	0	2	1
SYN00381	20	32	35	30	7	19	10	16
SYN00382	95	148	156	154	56	38	61	67
SYN00383	36	18	30	39	13	17	16	12
SYN00384	55	92	93	98	32	48	25	47
SYN00385	20	9	12	10	2	5	7	7
SYN00386	230	221	232	261	141	97	92	156
SYN00387	4	8	10	4	3	6	4	4
SYN00388	0	0	1	3	0	0	2	1
SYN00389	1	0	3	2	2	0	3	2
SYN00390	6	9	7	7	6	0	5	11
SYN00391	10	26	14	15	6	7	9	4
SYN00392	659	683	728	693	236	160	189	255
SYN00393	3	3	8	3	2	2	1	1
SYN00394	21	10	17	28	7	6	9	12
SYN00395	21	27	21	13	11	10	19	10
SYN00396	44	44	75	84	15	18	18	26
SYN00397	38	44	54	58	21	29	26	28
SYN00398	1	2	5	1	0	2	0	2
SYN00399	7	4	6	10	2	1	6	6
SYN00400	31	19	24	13	6	3	13	18
SYN00401	39	40	40	35	9	15	11	19
SYN00402	4	5	5	4	2	0	3	1
SYN00403	209	151	219	175	73	63	65	129
SYN00404	5	1	4	4	2	2	0	1
SYN00405	65	65	84	148	35	33	46	32
SYN00406	42	27	59	48	10	13	24	14
SYN00407	34	33	35	52	12	19	9	14
SYN00408	2	0	1	0	0	1	0	0
SYN00409	15	16	32	15	8	9	9	6
SYN00410	5	5	10	1	5	3	1	3
SYN00411	23	55	51	69	12	14	22	9
SYN00412	14	12	16	12	3	6	2	3
SYN00413	21	9	21	23	4	5	8	5
SYN00414	8	9	9	14	4	6	6	5
SYN00415	4	4	4	4	1	4	4	3
SYN00416	14	16	40	26	4	10	6	10
SYN00417	2	0	0	1	0	1	1	2
SYN00418	32	30	66	37	4	12	16	15
SYN00419	3	2	4	1	0	1	0	0
SYN00420	32	27	27	25	16	5	8	14
SYN00421	130	121	148	185	64	66	56	56
SYN00422	191	128	173	153	63	61	83	54
SYN00423	335	213	351	317	153	99	145	90
SYN00424	63	59	104	94	43	22	56	37
SYN00425	18	14	9	17	7	4	4	6
SYN00426	4	8	3	1	5	3	4	2
SYN00427	5	4	2	5	0	0	1	3
SYN00428	4	5	5	8	4	3	1	1
SYN00429	2	0	1	4	2	0	3	1
SYN00430	2	5	1	1	1	2	2	3
SYN00431	45	33	71	72	19	15	29	25
SYN00432	96	90	63	52	49	37	38	36
SYN00433	55	53	88	61	42	37	26	37
SYN00434	22	23	26	44	15	18	9	7
SYN00435	40	22	42	39	14	10	15	17
SYN00436	40	41	52	45	9	17	27	32
SYN00437	19	17	34	17	11	4	6	13
SYN00438	92	69	82	110	26	31	41	36
SYN00439	8	10	5	10	8	4	6	4
SYN00440	182	183	203	143	78	64	84	54
SYN00441	1	4	2	5	1	2	1	1
SYN00442	51	46	51	66	34	19	22	27
SYN00443	51	76	65	63	17	24	37	25
SYN00444	68	44	67	43	23	26	24	35
SYN00445	54	53	45	30	26	18	19	13
SYN00446	84	104	85	91	43	29	39	40
SYN00447	16	12	11	13	8	4	5	9
SYN00448	2	4	2	5	1	2	4	1
SYN00449	29	41	41	38	17	12	14	9
SYN00450	6	7	6	6	1	4	2	1
SYN00451	7	12	10	20	4	2	13	8
SYN00452	29	49	37	56	14	24	21	11
SYN00453	96	42	70	71	22	35	20	33
SYN00454	11	17	16	11	4	4	5	2
SYN00455	84	106	125	118	52	42	35	39
SYN00456	148	92	69	105	41	21	58	53
SYN00457	31	30	24	31	11	11	13	16
SYN00458	42	41	41	64	13	22	25	27
SYN00459	4	3	5	5	1	3	4	1
SYN00460	81	74	103	105	37	38	37	61
SYN00461	16	27	35	35	8	17	8	16
SYN00462	30	36	31	81	20	13	13	14
SYN00463	40	34	26	32	10	9	14	10
SYN00464	3	1	4	10	3	3	2	2
SYN00465	16	23	40	29	9	7	11	10
SYN00466	12	11	11	9	5	6	4	6
SYN00467	17	20	25	14	8	10	2	11
SYN00468	184	117	156	134	42	76	74	57
SYN00469	129	163	123	228	59	62	87	75
SYN00470	14	9	13	14	0	5	4	2
SYN00471	46	70	43	68	19	11	29	23
SYN00472	873	649	674	735	301	433	361	185
SYN00473	12	12	6	17	3	2	4	3
SYN00474	3	3	7	3	1	1	0	4
SYN00475	12	6	12	10	4	5	4	4
SYN00476	32	33	35	26	6	9	11	9
SYN00477	1	2	1	2	0	0	0	2
SYN00478	306	277	346	304	102	108	137	158
SYN00479	5	14	10	5	2	3	3	2
SYN00480	21	33	44	30	7	6	12	12
SYN00481	321	340	468	317	172	92	126	143
SYN00482	2	0	0	1	0	0	1	0
SYN00483	189	265	201	223	88	126	157	130
SYN00484	24	13	14	17	1	9	8	5
SYN00485	101	76	135	104	38	43	64	41
SYN00486	11	3	5	4	5	3	8	8
SYN00487	212	241	232	207	84	91	79	73
SYN00488	45	37	60	62	16	22	30	16
SYN00489	73	128	101	85	40	33	42	30
SYN00490	267	283	255	190	105	92	134	113
SYN00491	5	6	2	1	0	1	1	0
SYN00492	26	35	44	34	8	13	22	21
SYN00493	14	13	26	17	6	3	8	6
SYN00494	5	2	5	3	1	0	5	4
SYN00495	8	6	10	21	5	2	5	6
SYN00496	2	8	8	5	3	2	2	4
SYN00497	45	45	79	43	28	19	12	25
SYN00498	31	26	17	25	2	10	8	10
SYN00499	81	109	115	110	39	28	31	39
SYN00500	1	2	1	4	0	2	0	0
SYN00501	70	57	44	61	17	24	20	28
SYN00502	8	14	12	13	8	8	10	7
SYN00503	46	35	51	36	10	19	17	20
SYN00504	18	17	6	15	9	6	8	5
SYN00505	8	10	16	15	5	4	7	3
SYN00506	175	174	158	149	72	73	85	90
SYN00507	11	10	8	11	6	6	6	7
SYN00508	7	5	8	3	2	0	4	1
SYN00509	3	1	2	2	4	1	1	2
SYN00510	131	86	105	204	44	50	34	30
SYN00511	35	44	60	62	18	19	24	21
SYN00512	4	1	4	1	0	0	1	2
SYN00513	29	23	30	34	11	10	8	6
SYN00514	3	2	3	1	0	1	0	1
SYN00515	2	3	3	3	0	1	1	0
SYN00516	24	37	30	49	20	9	16	12
SYN00517	13	10	16	29	3	4	4	9
SYN00518	53	50	52	63	18	19	21	5
SYN00519	59	61	50	59	10	16	15	18
SYN00520	13	12	10	11	5	5	6	4
SYN00521	14	19	30	28	10	4	10	7
SYN00522	8	7	0	11	2	2	5	0
SYN00523	2	0	1	4	0	0	0	1
SYN00524	11	11	6	5	2	4	4	3
SYN00525	28	25	22	40	6	11	8	12
SYN00526	34	24	54	39	26	15	25	23
SYN00527	5	5	4	6	2	4	1	1
SYN00528	56	82	64	97	28	28	47	39
SYN00529	44	41	43	45	15	22	10	22
SYN00530	61	65	46	81	19	20	15	28
SYN00531	10	14	11	13	5	6	6	5
SYN00532	19	19	26	25	9	0	12	5
SYN00533	118	134	142	160	38	37	53	38
SYN00534	5	2	6	5	0	2	1	6
SYN00535	4	1	0	2	2	1	3	1
SYN00536	14	17	16	9	3	3	4	1
SYN00537	24	21	28	27	6	13	12	6
SYN00538	6	12	5	11	2	3	5	4
SYN00539	8	10	17	11	6	3	9	3
SYN00540	24	6	13	19	6	4	9	5
SYN00541	208	230	194	252	68	50	86	65
SYN00542	72	57	62	43	20	27	33	22
SYN00543	2	4	6	0	2	0	3	1
SYN00544	132	247	232	223	44	62	72	66
SYN00545	1	1	1	2	0	1	1	0
SYN00546	170	84	179	127	51	49	74	76
SYN00547	3	3	4	5	3	1	1	6
SYN00548	10	10	12	7	2	3	4	3
SYN00549	17	11	7	7	1	3	8	2
SYN00550	10	6	10	24	14	7	10	8
SYN00551	1	4	0	2	1	0	2	0
SYN00552	7	12	14	0	11	3	4	10
SYN00553	15	19	21	21	15	16	24	14
SYN00554	0	2	1	0	1	3	5	0
SYN00555	58	35	98	53	45	53	54	71
SYN00556	24	40	44	63	50	29	42	45
SYN00557	12	12	17	20	12	8	20	12
SYN00558	105	148	187	183	223	139	159	194
SYN00559	59	43	47	55	57	85	69	76
SYN00560	1	0	2	0	1	1	1	1
SYN00561	9	11	29	26	21	29	23	20
SYN00562	8	8	8	11	14	6	8	8
SYN00563	108	88	58	82	88	93	93	60
SYN00564	48	44	35	43	37	40	51	69
SYN00565	51	50	60	31	47	52	50	58
SYN00566	10	8	15	3	4	5	8	11
SYN00567	36	21	40	34	24	33	60	34
SYN00568	39	22	20	15	35	21	24	28
SYN00569	54	36	73	81	101	52	78	92
SYN00570	14	13	13	28	16	20	11	19
SYN00571	21	25	20	35	15	22	14	26
SYN00572	7	8	12	20	13	11	19	11
SYN00573	70	98	92	77	74	80	66	84
SYN00574	1	2	2	2	4	4	1	2
SYN00575	37	60	68	43	44	30	45	48
SYN00576	159	198	152	206	241	226	272	284
SYN00577	17	17	32	28	29	38	21	21
SYN00578	5	18	10	9	20	5	19	11
SYN00579	16	32	33	28	23	20	25	11
SYN00580	7	5	7	1	4	4	6	5
SYN00581	47	40	68	58	50	39	61	35
SYN00582	20	25	40	24	22	27	37	39
SYN00583	5	6	3	4	6	7	11	5
SYN00584	23	16	18	18	22	14	34	28
SYN00585	12	5	7	8	8	9	12	14
SYN00586	6	3	4	3	4	4	2	5
SYN00587	15	28	31	34	27	16	13	14
SYN00588	12	14	18	14	15	13	12	12
SYN00589	37	44	37	51	47	46	45	66
SYN00590	342	303	435	460	359	364	430	375
SYN00591	85	52	78	104	52	88	74	38
SYN00592	17	24	15	30	30	25	39	30
SYN00593	39	30	58	43	36	59	45	61
SYN00594	288	147	270	289	265	161	244	227
SYN00595	213	207	228	204	231	240	307	246
SYN00596	2	1	3	3	3	3	3	0
SYN00597	15	19	14	19	16	34	17	12
SYN00598	9	12	12	13	3	15	8	3
SYN00599	20	21	35	18	19	15	27	18
SYN00600	20	28	30	37	31	19	27	24
SYN00601	4	4	9	5	3	5	6	9
SYN00602	72	99	75	57	75	68	55	78
SYN00603	83	73	93	145	119	93	82	73
SYN00604	23	54	39	36	49	25	37	54
SYN00605	24	38	31	32	34	44	26	24
SYN00606	31	14	10	25	13	12	19	21
SYN00607	7	9	4	2	3	4	1	3
SYN00608	117	81	116	70	83	81	77	79
SYN00609	15	10	9	10	11	9	15	13
SYN00610	6	5	12	6	4	7	17	17
SYN00611	40	29	32	59	36	30	27	42
SYN00612	4	9	14	8	7	10	11	12
SYN00613	37	88	36	27	24	37	71	57
SYN00614	15	23	7	16	19	9	13	22
SYN00615	63	101	81	87	73	83	74	73
SYN00616	58	56	78	84	44	73	33	37
SYN00617	34	26	41	28	26	47	46	45
SYN00618	3	3	9	9	3	5	4	3
SYN00619	146	223	133	189	125	129	116	207
SYN00620	25	7	28	30	28	17	33	25
SYN00621	67	123	96	115	116	115	102	148
SYN00622	42	42	67	37	52	41	47	60
SYN00623	1	2	2	8	2	6	2	9
SYN00624	23	22	23	27	30	30	32	12
SYN00625	26	29	20	23	25	20	16	27
SYN00626	1	2	0	1	0	1	1	2
SYN00627	18	18	19	26	12	12	17	26
SYN00628	151	192	174	137	186	195	171	200
SYN00629	16	14	21	26	19	21	13	24
SYN00630	284	428	371	554	380	470	417	511
